मैमी?	మామీ?
मैमी.	మామీ.
यह सच है.	అది నిజం.
मूनपिग. मूनपिग डॉट कॉम.	మూనపిగ. మూనపిగ డాట కామ.
शायद यह केकडा है.	అది పీత అనుకుంటా.
कयोंकि तुम मेरी मदद नहीं कर सकती.	ఎందుకంటే నువవు సాయం చేయవు కాబటటి.
बिबी.	బీబీ.
-हम कया करेंगे? -आंटी इवा?	-మనం ఏం చేయగలం? -ఈవా ఆంటీ?
वह छोटी सी जैकेट पहनकर मत आना. फोन करने के लिए धनयवाद.	ఆ చినన జాకెట తొడుకకుని రాకు. కాల చేసినందుకు ధనయవాదాలు.
पर इससे पहले कि वह दरवाजा खोले, बेवकूफों की तरह मुसकुराना छोडोगे?	కానీ ఆమె తలుపు తీసేలోపు నీ ముఖం మీద ఆ పిచచి నవవు లేకుండా చేయగలవా?
टॉम.	టామ.
तो जॉन पॉल की मौत की रात को तुम अपने पति के साथ थी?	అయితే, జాన పాల చనిపోయిన రాతరి మీరు మీ భరతతో ఉననారా?
फलिन. मिसेज फलिन.	ఫలిన. మిసెస ఫలిన.
इवा.	ఈవా.
डी लेना होटल एंड सपा	డె లీనా హోటల అండ సపా
मैंने तुमहें बताया कि मैं तुमहें सच में पसंद करता हूँ?	నీ మీద నాకు చాలా గాఢమెన పరేమ ఉందనే విషయం నీకు చెపపానా?
जॉन पॉल.	జాన పాల.
अरे, काफी जोर से लगी.	ఓహ, పెదద సొటట పడింది.
हैलो, जैरलड.	హలో, జెరాలడ.
इवा?	ఈవా?
-बहुत-बहुत धनयवाद. -मजे करो.	-చాలా ధనయవాదాలు. -ఆసవాదించు.
अगर एक पुरुष वह देता, तो वह मुसकुराकर लेती?	అదే ఏ మగవాడో ఇచచి ఉంటే, ఎలా ఉంటుందో ఊహించు?
जब तुम नाजियों को न देख रही हो.	నువవు నాజీలను టీవీలో చూడనపపుడు.
कया कर रही हो, इवा?	ఏం చేసతుననావు, ఈవా?
-बाद में मिलूँगी. -ठीक है.	-తరువాత కలుదదాం. -కలుదదాం.
रिशता खतम हो गया, ठीक है?	అది ముగిసిపోయింది, సరేనా?
तुम दोनों होटल में कया कर रहे थे?	హోటల దగగర మీరిదదరూ ఏం చేసతుననారు?
संभलकर, शायद फलश नहीं किया गया होगा.	సరిగగా నీళలు కొటటారో లేదో చూసుకోండి.
हैलो. अरे, धत.	హలో. ఓహ, చెతత.
हाँ.	సరే.
हाँ. तुमसे मिलकर खुशी हुई.	సరే. మిమమలని కలవడం సంతోషం.
मुझे पता था.	నాకు తెలుసు.
तुम बचचों को नहीं खोओगी.	నువవు పిలలలని వదులుకోవు.
धत. कया?	ఛ. ఏంటి?
अगर मैंने रिशता नहीं तोडा, तो वह डॉनल को सब बता देगा.	నేను దానిని ముగించకపోతే, తను డోనల కి అననీ చెపపేసతాడు.
-वाह. -धत तेरी की.	-వావ. -ఓరి దేవుడా.
धत तेरी की.	ఓరి దేవుడా.
गरेस, शुकर है कि तुम और बलानड वहाँ नहीं थीं.	గరేస, నువవూ, బలానడ అకకడ లేకపోవడం దేవుడి దయే.
नहीं.	వదదు.
-चलो भी! -कयों?	-చేయి! -ఎందుకు?
-नहीं! -बैका! बैका! बैका!	-లేదు! -బెకా! బెకా! బెకా!
"यह देश. . . "	"ఈ దేశం. . . "
अरस!	ఉరస!
"पियरस. "	"పియరస. "
हम घर जा रहे हैं. माफ करना, ठीक है?	ఇంటికి వెళతుననాం. కషమించండి, సరేనా?
तुम कहाँ जा रही हो?	ఎకకడికి వెళతుననావు?
-कया? -माफ करना. हम बात कर सकते हैं?	-ఏంటి? -కషమించు. మనం మాటలాడుకుందామా?
कुछ नहीं!	ఏమీ లేదు!
-अरसला. -हैलो!	-ఉరసులా. -హాయ!
माफ करना मैंने तुमहारे साथ यह साझा किया मुझे लगा कि तुमहें पता होना चाहिए.	ఇది నీతో పంచుకోవడం నాకు బాధగా ఉంది కానీ నువవు ఇది తెలుసుకోవాలని భావించాను.
थॉमस!	థామస!
आ रहा हूँ!	వసతుననాను!
यह बढिया है.	ఇది బాగుంది.
शॉट.	షాట.
धत. वह तुमहारा दोसत था?	ఛ. అతను నీకు సనేహితుడా?
सतनों के?	చనుమొనలా?
नहीं, मैं भी नहीं. नहीं.	లేదు, నా వలల కాదు. కాదు.
नहीं, नहीं. बिलकुल नहीं. . .	లేదు, వదదు. ఈ ఫోన ఎతతకు. . .
नहीं.	లేదు.
"कया हुआ अगर. . . कया हुआ अगर अतयधिक पयार ने उनहें मरने तक हतपरभ किया? "	"అయితే మరి. . . మితిమీరిన పరేమ వాళలు మరణించే వరకూ వాళలని విసమయపరిచిందా? "
नहीं. . . नहीं जा सकती कयोंकि मुझे रविवार के लंच की तैयारी करनी है.	నేను. . . నేను వెళలలేను ఎందుకంటే ఆదివారం విందుకు ఏరపాటలు చేసుకోవాలి.
सुनो, मैं मैलकम हिल का दोसत हूँ. उसने मुझे तुमहारा नंबर दिया और. . .	వినండి, నేను మాలకమ హిల సనేహితుడిని. అతను మీ నెంబరు ఇచచారు ఇంకా. . .
-कया कर रहे हो? जवाब दो. -नहीं, मैं तुमहारे सामने जवाब नहीं दूँगा.	-ఏం చేసతుననావు? ఫోన తియయి. -లేదు, నువవు పకకన ఉండగా నేను మాటలాడను.
अरे, मैं समझता हूँ. पर, इस वाली को खुश रखना बेहद कठिन है.	ఓహ, బాగా చెపపావు. ఈ భారయని సంతోషంగా ఉంచడం చాలా కషటమెన పని.
तरल कवक कलचर दवारा विषाकत पदारथों को निकाला जा सकता है. "	వీటీ మీద ఫంగస ని దరవీకరించడం దవారా విషపదారథాలను తీయవచచు. "
ए, जान. मैं बस खाना पका रही हूँ. तुमहें बाद में फोन करूँ?	హేయ, బంగారం. నేను వంట మధయలో ఉననాను. నేను మళలీ కాల చేయనా?
मुझे मंजूर है. मुझे. . . मुझे अचछा लगता है कि कभी. . .	నేను వసతాను. నాకు ఇషటం. . . అకకడ ఏమీ లేకపోవడం అంటే. . .
वे जॉन पॉल की. . . गरेस की बीमा पॉलिसी संभाल रहे हैं.	వీళలు జాన పాల, గరేస బీమా పాలసీ వయవహారాలు చూసతుననారు.
आपको लोगों की निजी जानकारी चुरानी नहीं चाहिए, अरसला.	నువవు ఎవరి వయకతిగత సమాచారాననీ దొంగిలించకూడదు, ఉరసులా.
हाँ, मैं भी नहीं. मैं उसकी सास से मिलने जा रही हूँ.	అవును, నేను కూడా వెళలలేను. తన అతతగారిని కలుసుకోవాలి.
पोसटमॉरटम के लिए उससे अनुमति लेने की कोशिश करेंगे.	కాబటటి, పోసట మారటమ కోసం మనం అతని అనుమతిని అడుగుదాం.
-चुप रहो. -कयों? हमें वैसे भी उसकी मदद चाहिए.	-నోరు మూయి. -ఎందుకు? మనకి తన అవసరం ఎటూ ఉంది.
ए! अरे, मैं अगली बार देखूँगी. ठीक है? पकडो.	హేయ! ఓహ, మళలీసారి వచచి చూసతాను. సరేనా? కయాచ.
मुझे खेद है कि तुमने अपनी कुछ फोटो खो दीं.	నువవు కొనని ఫోటోలు పోగొటటుకోవడం బాధగా ఉంది.
हमें अरसला को भी इसमें शामिल करना चाहिए.	మనం ఈ పని కోసం ఉరసులాని రంగంలోకి దింపాలి.
-अरे, नहीं, नहीं, नहीं. नहीं. -हे भगवान.	-ఓహ, లేదు, లేదు, లేదు. లేదు. -ఓహ, దేవుడా.
मैं कैलम नामक इस लडके को डेट कर रही हूँ.	నేను కయాలమ అనే కురరాడిని ఇషటపడుతుననాను.
