हैलो! मदद करो!	హలో! కాపాడండి!
पैनिक	పానిక
यह कया?	ఏంటిది?
डेमियन जैकसन -. 50 हेदर निल -. 85	డామియన జాకసన -. 50 హేథర నిల -. 85
-हेदर! -तुम कहाँ हो?	-హేథర! -ఎకకడ ఉననావు?
फोन!	ఫోన!
पहुँचने वाली हूँ. मेरे बगैर मत जाना!	దగగరకు వచచేశా. నననొదిలి వెళళిపోకండి.
सनस फारमसी	సనస ఫారమసీ
कौन नशे का वयापारी अपने आपूरतिकरता से चोरी करेगा?	తమ సొంత సరఫరాదారుడి నుండి దొంగలించే వాడు ఏం డీలర?
ए, दोसत. सुनो.	హే, అబబాయ, హే.
वह कौन है?	అతను ఎవరు?
"मैं वह दवार हूँ.	"నేను ఆ దవారానని.
आमीन.	ఆమెన.
पर पहले मैं चरच गया था. मैंने वह बचचा हंट केनी देखा.	ఇంతకు ముందే చరచికి వెళళాను. అకకడ హంట కెననీని చూశాను.
मुझे लगा अब बोमॉनट की सिरदरदी है.	అతనిక బయూమాంట తలనొపపి అనుకుననాను.
शायद. नहीं, मैं बस एक फोटोगराफर हूँ.	అనుకుంటా. లేదు, నేను ఒక ఫోటోగరాఫరను.
शायद. इस साल मैंने 13 गरेजुएशन कवर किए.	అయింటుంది. అలాంటివి, ఈ ఏడాది 13 తీశాను.
काला गाउन? मैच करती टोपी? फुंदना?	నలల గౌను? అదే రంగు కయాప? కుచచులు?
मैंने उनहें सकूल भेज दिया.	నేను వాటిని సకూలకు పంపాను.
उसने जरूर तहखाने के लिए इसे चुना होगा,	ఖచచితంగా భూగరభం ఉందని ఎంచుకుని ఉంటాడు,
रूसी रूलेट?	రషయన రోలెట?
कोल वॉरेन ने अंक बटोरे थे.	కోల వారెనకు పాయింటలొచచాయి.
एक बात कहूँ?	ఏంటో తెలుసా?
नहीं, तुम अपनी मंजिल ढूँढ लोगी, और उस तक पहुँचोगी भी.	లేదు, నువవు నీకు ఏం కావాలో తెలుసుకుని, అది పొందుతావు.
हेदर?	హేథర?
जरूर, कोई बात नहीं.	తపపకుండా, పరవాలేదు.
तुमहारे बारे में कभी ऐसा नहीं सोचा.	నేనెపపుడూ నీ గురించి అలా అనుకోలేదు.
नहीं, हाँ. नहीं, मुझे. . . मुझे बस लगता है. . .	నిజంగా, అవును. లేదు, నాకు. . . అనిపిసతుంది. . .
तुमने कभी सुना नहीं, "अपने दुशमन को सदा पास रखो"?	ఎపపుడూ వినలేదా, "నీ శతరువులను దగగరగా ఉంచుకో" అని?
मैंने सुना है कि लूक और कॉनरैड सपरलॉक चोरी की एक गाडी में थे.	లూక ఇంకా కానరాడ సపరలాక ఒక దొంగిలించిన కారులో ఉననారని విననాను.
तुम ठीक तो हो?	బాగానే ఉననావా?
हाँ. मैं डरिंक लेने जा रहा हूँ. कुछ चाहिए?	ఆ. ఒక డరింక తెచచుకుంటాను. నీకేమెనా కావాలా?
हाँ.	సరే.
वाकई किसी को मारा होता,	ఎవరినెనా గుదదితే, వాళళు
हाँ!	సరే!
डरेस अचछी है.	డరెస బాగుంది.
अचछा?	ఏంటి?
दो सेकंड के लिए इन घटिया बातों को भूलकर ईमानदारी से पेश आओ.	రెండు సెకనలు కాండోమ పరకటనలా కాకుండా నిజమెన వయకతిలా మాటలాడు.
इतनी ईमानदारी काफी है?	అంత సహజతవం సరిపోతుందా?
तुमहें परवाह नहीं.	నువవు పటటించుకోవు.
-हाँ. -बेवकूफ.	-అవును. -వెధవ.
हाँ, यह मेरा होंठ है.	అవును, అవి నా పెదాలు.
इसे.	అది.
गाडी अचछी है.	కారు బాగుంది.
मेरे दादाजी हद से जयादा पिया करते थे.	మా తాతయయ ఈ చెతతను చాలా ఎకకవ తాగేవాడు.
तुमहें लगता है कुछ अचछा होने वाला है,	నీకు ఏదో మంచి జరుగుతుందని అనుకుంటావు,
बेकार कपडे, जिनहें वे कभी नहीं पहनना चाहते.	వాళళెపపుడూ వేసుకోని పిచచి దుసతులలా చూసతారు.
बेकार नौकरियाँ, जो वे कभी नहीं करना चाहते.	వాళళు ఎపపుడూ చేయాలనుకోని పనులు చేసేవారిలా.
पता नहीं. मुझे लगा कि शायद कुछ सुना.	నాకు తెలియదు. నాకు ఏదో వినిపించింది.
यह देखो! शुरू हो रहा है!	చూడండి! అది మొదలవుతుంది!
शहर वाले यहाँ आते हैं और सोचते हैं कि वे इस जगह के, और	సిటీ జనం ఇకకడ వారు కొనే సథలంతో పాటు అందులో ఉండే అందరూ
हंट केनी. मैंने यह नाम सुना है. वह अकसर यहाँ आता है?	హంట కెననీ. నాకు ఆ పేరు తెలుసు. ఇకకడకు ఎకకువగా వసతాడా?
परतियोगियों के बारे में जाने बिना जीत नहीं सकते. . .	మనకు పోటీ ఏంటో తెలిసే వరకూ మనం గెలువలేం, అందుకని. . .
आना चाहता था, पर मेरे बॉस ने परेशान कर रखा है.	రావాలని అనుకుననాను, కానీ నా బాస ననను వదలలేదు.
यह मत कहना कि यह सुनकर लडकियाँ फँसती भी हैं.	ఆ మాటకు కొందరు అమమాయిలు పడిపోతారిని చెపపకు.
मेरा भाई फरीटाउन के असपताल में काम करता है.	మా కజిన ఫరీటౌనలో ఆసుపతరిలో పని చేసతుననాడు.
ऐबी के नाम जो चिटठियाँ आती थीं, उनका कया?	ఆమె ఆబీకి అందాయని చెపపిన ఆ చీటీల సంగతేంటి?
वाकई, हंट. तुमहारा यह साल काफी मुशकिल रहा.	అయయో, హంట. నువవు కఠినమెన సంవతసరం గడిపావు.
धत! तो, कया हाल है? मेरी याद आई कि नहीं?	ఛ! సరేలే, ఏంటి సంగతులు? గురతొచచానా, లేదా?
-शायद जा रहा है. -काश कभी लौटकर ही न आए.	-వెళుతుననాడు. -ఎపపటికీ వెళళిపోతే బాగుండు.
नाराज! नहीं, बलकि. . . बलकि इसका उलटा है.	నిరాశ! లేదు, నేను. . . నిరాశకు వయతిరేకం.
नहीं, इस तरह से तयोहार जैसा लगता है.	లేదు, ఇలా మరింతగా పండగలా అనిపిసతుంది.
ताकि समझे कि नियंतरण तुमहारे पास है.	నువవు నియంతరించగలవని దానికి తెలియాలి.
दाँतों से होंठ को दबाना अचछा लगता है.	నువవు నీ పెదం కొరికే తీరు నచచుతుంది.
मानो दुनिया कोई भीडभाड वाली लिफट हो,	దానిలో నువవు ఎవరికీ ఇబబంది కలుగకూడదని
डॉज मेसन +. 96 नैटली विलियमस +. 60	డాడజ మేసన +. 96 నాటలీ విలియమస +. 60
-अचछा. -मुझे पता था कोई गडबड करोगे,	-సరే. -ఏదో చెతతగా చేసతావని తెలుసు,
जब भी हो पाता है, उसे काम देती हूँ.	సాధయమెనంత వరకు అతనికి పనిసతుననాను.
तुमहें पता है कि मुझे रहसय पसंद है.	నీకు తెలుసుగా నాకు రహసయాలంటే ఇషటం.
तुम पारकिंग वाली जगह में रो रही हो.	పారకింగలో కూరచుని ఏడుసతుంది నువవు.
-शुकरिया. -छोटे-छोटे तकियों जैसे.	-ధనయవాదాలు. -చినన పెదాల దిండలలాగా.
अजीब बात है कि मुझे वह बू पसंद है.	విచితరంగా నాకు ఆ వాసన ఎలా నచచేదో.
रचनातमक परयवेकषक रवीनदर शंकर शुकल	కరియేటివ సూపరవెజర రాజేశవరరావు వలవల
उनहें लगा कि वह अंक नहीं बटोर रहा, इसलिए ऐबी को फाइनल में जाना था.	ఆబీ ఫెనలస చేరేందుకు అతను తన సకోరు తగగించుకుంటుననాడని అనుకుననారు.
तो उसने कतल को छुपाने में मदद की?	అతను హతయను బయటకు రాకుండా చేశాడా?
जानना है कि किस बात से डरता हूँ?	నాకేదంటే భయమో తెలుసుకోవాలని ఉందా?
टरॉय ने मुझे साफ करना सिखाया. . .	టరాయ నేరపించాడు, పొరలు వసతే. . .
अचछा. काफी सारे बिसकुट बनाते हो?	సరే. బాగా కుకీలు తయారు చేసతావా?
जिसकी मुसकान बडी अचछी है, है न?	అదభుతమెన నవవు కలిగినదానివి, కదా?
या यह कमीनापन तुमहारी खासियत है?	లేదా నీది పనికిమాలిన సంపరదాయమా?
अपराध-सवीकरण की बात कर रहे हो तो मैं कैथोलिक पादरी नहीं, जॉन.	అపరాధ అంగీకారాలు తెలుసుకోవాలని వసతే, కేథలిక పూజారిని కాను, జాన.
-सुधार बैठक से बचता फिर रहा था. -हंट और जिमी फुटबॉल खेलते थे.	-పునరావాస సమావేశం తపపించుకుంటుననాడు. -జిమమీతో ఫుటబాల ఆడాడు.
नहीं, उसने लडकी को मारा नहीं.	లేదు, అతను ఆ అమమాయిని చంపలేదు.
पता है किसे यह गाना पसंद नहीं?	ఎవరికి ఈ పాట అంటే ఇషటం ఉండదు?
ताकि वह नीचे जाकर उन लोगों के नाम लिख सके जो आगे बढ पाए.	అతను కిందకు వెళళి లోపలికి వెళళిన వాళళ పేరలు తెలియచేయవచచని.
जब पता चले, तो मुझे फोन करना.	నీకది తెలిసతే, నాకు కాల చెయ.
