इटली.	ఇటలీ.
वहाइटहॉल के सुरकषाकरमियों से संपरक करके उनसे कहो वे सीसीटीवी चेक करें.	ఆ సిసిటీవీని చెక చేయడానికి వెట హాల సెకయూరిటీ సిబబందితో ఒకసారి మాటలాడు.
कॉलिंगवुड हाउस सीएच	కోలింగవుడ హౌస సిహెచ
हमें उनके दोसतों और परिवारों पर धयान देना है,	మనం వాళల సనేహితులు, కుటుంబాల మీద దృషటి పెడదాం
किसकी माँ?	ఎవరి తలలి?
कया मैं कुछ कह सकता हूँ, हाँ?	నేను ఒక మాట చెపపనా, ఫరవాలేదా?
नहीं.	లేదు.
डॉकटर ने तुमसे वही कहा जो तुम सुनना चाहते हो, कयोंकि उसके हाथ-पाँव फूले हुए हैं.	నువవు ఏం వినాలి అనుకుంటావో డాకటర నీకు అదే చెపపాడు, ఎందుకంటే అతను భయపడిపోతుననాడు.
आगे बढो.	కానివవు.
गाला.	గాలా.
गाला.	గాలా.
उसके लिए तो नहीं.	వాడిని కించపరచకు.
ओय.	ఓయ.
हाँ, देखो. किस बारे में बातें करना चाहोगे? संगीत के बारे में बात करें?	ఇలా చూడు. నువవు ఏం మాటలాడాలి అనుకుంటుననావు? మయూజిక గురించి మాటలాడతావా?
फिर हमें इसे यह पिलाना होगा.	అపపుడు అతనితో మనం తాగించచచు.
ये कौन हैं?	వాళలు ఎవరు?
बुडापेसट. . .	బుడాపెసట. . .
किंगडम 2-9?	కింగడమ 2-9?
यहाँ विमान में अंगरेजी भाषी लोग हैं,	విమానంలో ఇంగలీష మాటలాడేవాళలు ఉననారు,
लेकिन पलीज इस बात को समझिए. . .	కానీ దయచేసి అరథం చేసుకోండి. . .
किंगडम 2-9. . .	కింగడమ 2-9. . .
- कया कहा उसने? - वह हमारे लिए गयोर हवाई अडडे पर	- ఆమె ఏం అంటోంది? - ఆమె పరమిషన కోసం పరయతనిసతోంది
देखो, बादल ऊपर की तरफ जा रहे हैं.	చూడు, మేఘాలు పెకి వెళలిపోతుననాయి.
आपको हमें बता देना चाहिए, एलेन. आप गिरफतार होने से बच जाएँगी.	మీరు మాకు చెపపడం మంచిది, ఎలెన. మీరు అరెసటు కాకుండా చూసుకోండి.
बैठ जाइए.	కూరచోండి.
