रॉबिन!	రాబిన!
हैलो, दोसत.	హే, మితరమా.
बेकका.	బెకకా.
जिसे हमेशा देते हैं.	ఎపపటిలా అదే వయకతికి.
मुझे.	నాకు.
हम किस तरह की आपात छूट की बात कर रहे हैं?	ఇకకడ మనం అసలు ఎంత పరమాద భతయం ఆశిసతుననాము?
तुमने जो किया, उसका शुकरिया	మీరు చేసిన దానికి ధనయవాదాలు
उनहोंने मुझे तसवीर से निकाल दिया.	వాళళు ననను ఫోటో నుండి తొలగించారు.
आप दोनों. . .	మీ ఇదదరూ. . .
मुझे पता है.	నాకు తెలుసు.
यह लो.	ఇదిగో.
माफ करना, मैं. . .	ననను కషమించు, నేను
ओए!	ఓయ!
ऐशली.	ఆషలీ.
नहीं.	లేదు.
पर हम पकड लेंगे.	కానీ పటటుకుంటాం.
अचछा, आप लोगों को एतराज ना हो तो,	హే, నాదో పరశన, మీకు ఫరవాలేదు కదా?
ऐशली.	ఆషలీ.
ऐशली!	ఆషలీ!
किसी भी तरह से	ఏ విధంగా కూడా,
आई बात समझ में?	నీకు అరథమయిందా?
टरांसलूसेंट को आज दफना दिया गया,	టరానసలూసెంట సంసకారాలు ఈరోజు. . .
सुनो.	విను.
तो, अब बताओ कि. . .	అయితే, ఇది ఎలా. . .
और फिर. . .	అపపుడు. . .
नहीं.	కాదు.
चरच ऑफ द कलेकटिव	చరచ ఆఫ ద కలెకటివ
कया लडका?	బాయ ఏంటి?
कया लडका?	బాయ ఏంటి?
तुमने वह वीडियो देखा है.	నువవు ఆ వీడియో చూశావుగా.
रेनर?	రేనర?
तुम कया कर रहे हो?	నువవేం చేసతుననావు?
किसी और को यह सब संभालने दो, ठीक है?	దీనిని ఇంకెరినెనా నిరవహించనీ, సరేనా?
न ही रॉबिन.	లేదా రాబిన.
किसी न किसी तरह, वे सब. . .	ఏదో ఒక రకంగా, వాళళందరూ. . .
यह. जो कि बहुत ही घटिया है, पर यही सच है.	ఇది. చాలా నిరుతసాహపరిచేది, కానీ ఇది నిజం.
केटनिस.	కేటనిస.
गेको.	గెకో.
-अरे, बाप रे. हैलो.	-దేవుడా. హాయ. -హాయ.
हाँ.	సరే.
एनी?	ఆనీ?
यह लैंस कॉरपोरल डैन मिलर है.	ఇతను లానస కారపొరల డాన మిలలర.
दरअसल, पोरटलैंड से,	నిజానికి పోరటలయాండ,
नहीं, मुझे नहीं लगता कि. . .	లేదు, నేను అనుకోవటం లేదు ఇది
तुम लोग कैसे हो?	మీరు ఎలా ఉననారు?
मैडम, आपकी नाक.	మేడమ, మీ ముకకు.
शायद कोई सुपरहीरो हो.	అకకడ సూప ఉండి ఉంటారు.
नहीं.	లేదు.
एक बात कहूँ?	ఏంటో తెలుసా?
फरेडरिक वॉट.	ఫరెడరిక వాట.
