एमबुलेंस	అంబులెనస
नहीं. . . किसी को तुमहारे लिए चाय बनानी चाहिए.	తను తాగదు. . . నీకు మేం ఎవరెనా టీ చేసి తెసతాం.
ठीक है!	మంచిది!
सब मेरे नियंतरण में है.	నేను ఇదంతా చకకదిదదగలను.
हाँ.	సరే.
या फिर वे भी गलत साबित हुईं?	లేదా అవి కూడా తపపుగా వచచాయా?
हम मुसीबत में हैं.	మన పని అయిపోయింది.
बेबी बैका.	బేబీ బెకా.
मेरा मतलब, यह बेहद बुरा है.	నా ఉదదేశం, ఇది గొపపగా ఉంది.
मैं अपने मृत पति के कपडे पैक कर रही हूँ, पर, तुम लोग समझती हो.	చనిపోయిన నా భరత దుసతులని నేను సరదేసతుననాను, కానీ, మీకు తెలుసు.
नहीं, सुनो.	లేదు, విను.
सच में.	నిజంగా.
हम यहाँ कयों आते रहते हैं अगर यहाँ शराब नहीं है?	ఇకకడ మదయం లేనపపుడు మనం ఇకకడికి ఎందుకు వసతుననాము?
बेन के घर में?	బెన దగగర ఉందా?
वे भुगतान नहीं कर रहे हैं.	వాళలు డబబు చెలలించడం లేదు.
जिस रात जेपी मरा था, जब मैं उठी तुम जा चुके थे.	జెపి చనిపోయిన రాతరి, నేను లేచేసరికి నువవు లేవు.
माइकल, नहीं.	మెఖేల, వదదు.
तुम ठीक हो? तुमहें चाय चाहिए?	నువవు బాగుననావా? టీ తాగుతావా?
कयोंकि मुझे पता था कि मैं अपने अंदर	ఎందుకంటే అతని మీద నాకు ఉనన దవేషానని
मिसेज विलियमस!	మిసెస విలియమస.
गरेस!	గరేస!
पर, तुमहारी बहन, रेबेका, वहाँ मौजूद थी.	మీ చెలలెలు, రెబెకా, ఆ రాతరి అకకడే ఉందట.
अरस.	ఉరస.
कयोंकि उनहें लगता है कि हम सभी के पास उसकी हतया करने की वजहें थीं.	ఎందుకంటే అతడని చంపడానికి మా అందరికీ తలో కారణం ఉందని అనుకుంటుననారు.
गरेसी.	గరేసీ.
मुझे माफ कर दो.	ననను కషమించండి.
तुमहारी बहनें जहरीली हैं, गरेस. और वे तुमहारे दिमाग में जहर भरती हैं.	నీ అకకచెలలెళలు విషపు మనుషులు, గరేస. వాళలు నీ బురరని విషంతో నింపుతారు.
-इस पर बात करना चाहती हो? -नहीं!	-దీని గురించి మాటలాడతావా? -లేదు!
किसके लिए?	దేని కోసం?
गरेस.	గరేస.
हैवान कहीं के.	చెతత రాకషసుడు.
नहीं.	వదదు.
वैनेसा रेडगरेव इसाडोरा	వెనెసా రెడ గరేవ ఇసడోరా
तुमने और तुमहारी बहनों ने उसका जुरम छुपाया.	నువవు, నీ అకకలు దానిని కపపిపుచచాలని చూశారు.
इवा	ఈవా
उसे पता है कि गरेस ने उसकी जान ली और सोचता है कि हमने उसका जुरम छुपाया.	గరేస వాడిని హతయ చేసిందని, దానని మనం కపపిపుచచాలని చూశామని అతనికి తెలుసు.
बिबी. . .	బీబీ. . .
थॉमस	థామస
नॉरथ डबलिन हॉसपिटल	నారత డబలిన హాసపిటల
हाँ, छोटी बचची इंटेंसिव केयर से बाहर आ गई है,	అవును, పసిపాప ఇంటెనసివ కేర నుంచి బయటకొచచింది,
तो यह अचछा संकेत है. शायद.	అది మంచి సంకేతం. అనుకుంటా.
पर, शायद कोट पहन लेना चाहिए?	పెన కోట ఏదెనా వేసుకో, సరేనా?
मुझे मेसेज करना.	నాకు మెసేజ చేయి.
कृपया. गरेस, नहीं.	దయచేసి వదదు, గరేస.
तो हालात यहाँ तक नहीं पहुँचते.	పరిసథితి అంత దూరం వచచేది కాదు.
हैलो, लडकियों!	హలో, అమమాయిలూ!
-बिगडैल लडकी. -चुप रहो.	-చెతత పిలల. -నోరు మూయి.
धनयवाद, गरेसी.	థాంకయూ, గరేసీ.
-कमीनी. -मैं तैयारी के साथ आई!	-చెతతదానా. -నేను తయారె వచచాను!
तुमने फोन करना बंद कर दिया, और मेरे मेसेजों का जवाब नहीं दे रहे हो.	నాకు ఫోనలు చేయడం మానేశావు, అలాగే నా మెసేజ లకి కూడా సపందించడం లేదు.
हम इवा के साथ रहेंगे. एक विधवा और एक अविवाहिता जीवन के मजे लूटेंगी.	మేము ఈవాతో కలిసి ఉంటాం. ఒక వితంతువు ఇంకా ఒక అవివాహిత, కలిసి ఉంటాం.
हाँ, चलो यही आजमाएँ, कयोंकि महिलाओं के लिए यह हमेशा काम करता है.	అవును, అలా పరయతనిదదాం, ఎందుకంటే ఆడవారికి అది ఎపపుడూ పని చేసతుంది.
मुझे बस इतना पता है कि उसने कहा वह हारपस का मैच देखने गया था.	అతను హారపస ఫుట బాల మయాచ చూడటానికి వెళలాడని మాతరమే నాకు తెలుసు.
मेरे गुरु बनोगे? मुझे लिंग संबंधी-चीजें सिखा सकते हो	నువవు నా డాడీవి అవుతావా? నాకు అంగం గురించి నేరపించు
-तुमहें चाय चाहिए, अरस? -नहीं, उसे चाय नहीं चाहिए.	-నువవు టీ తాగుతావా, ఉరస? -లేదు, తనకి టీ అవసరం లేదు.
मेरी गरदन तोडने की कोशिश कर रही हो? ऐसा मत करो.	నా మెడ విరిచేదదామని పరయతనిసతుననావా? ఆ పని చేయకు.
वे हमें जुदा करने के लिए हर संभव कोशिश करेंगी.	కానీ, మనలని వేరు చేయడానికి వాళలు ఏమెనా చేసతారు.
तुमने मुझे कभी बताया कयों नहीं कि कया हुआ था?	జరిగిన దానిని నువవు నాకెందుకు ఎపపుడూ చెపపలేదు?
वह कैबिन में गया था. वह मुझसे मिलना चाहता है.	తను కయాబిన దగగర ఉననాడు. ననను కలవాలి అంటుననాడు.
मुझे लगा वह मेरी मदद करने की कोशिश कर रहा था.	తను నాకు సాయం చేయడానికి చూసతుననాడు అనుకుననా.
पर मैच अगली रात को होने वाला था. शनिवार को.	కానీ ఆ మయాచ ఆ మరుసటి రోజు శనివారం నాడు ఉంది.
हम तुमहें और बलानड को आजाद करवाना चाहते थे.	నువవు ఇంకా బలానడ సవేచఛగా ఉండాలని కోరుకుననాం.
मेरा गला सूख गया है. निगल नहीं पा रही हूँ.	నా నోరు ఎండిపోయింది. నేను మింగలేకపోతుననాను.
इससे पहले कि कोई आदमी मेरे परिवार में घुसे? मेरे परिवार से मेरे सारे संपरक तुडवा दे.	నా ఇంటికి వేరొకరు ఆకరమించుకునే లోగానా? నా కుటుంబం నాతో తెగతెంపులు చేసుకునే లోగానా?
उनहोंने जॉन पॉल की लाश कयों खोदकर निकाली?	వాళలు జాన పాల శవానని ఎందుకు వెలికి తీశారు?
तो हम इसे किसी पहेली की तरह सुलझा लेंगे?	ఈ చెతత సమసయని పరిషకరించగలం అనుకుంటుననారా?
वे डेसक पर ही हैं. तुमहें नजर आ जाएँगी.	అవి నా డెసక మీద ఉననాయి. నీకు కనిపిసతాయి.
जेपी ने हमें काफी मुसीबतों से बचा लिया.	మనం పెదదగా కషటపడకుండా వాడు ఆదుకుననాడు.
वह देर से आई थी. वह हमेशा देर करती है.	తను ఆలసయంగా వచచింది. తను ఎపపుడూ ఆలసయమే.
केवल इसी तरह हम सब सुरकषित हो सकते हैं.	ఆ విధంగా మాతరమే మనలని మనం కాపాడుకోగలం.
मेरे दिल में बचचों के लिए बस पयार है, पर उसने मेरे खिलाफ अफवाहें फैलाईं!	పిలలలు అంటే నాకు పరేమ తపప మరేమీ లేదు, కానీ అతను అందరూ గుసగుసలాడేలా చేశాడు!
तुमहें कैसे पता कि उसने यह नहीं किया?	అతను చేయలేదని ఖచచితంగా ఎలా చెపపగలవు?
तो, मैं विकलो में उस पब में गया था.	అయితే, వికలోలో నేను పబ కి వెళలాను.
मुझे उसके पैर का माप याद नहीं है.	తన కాలి సెజు ఎంతో నాకు గురతు లేదు.
उनहें पूरा यकीन है कि जॉन पॉल की मौत में किसी का हाथ था, ठीक है?	జాన పాల మరణం వెనుక ఎవరో ఉననారని వాళలు ఖచచితంగా నమముతుననారు, సరేనా?
शायद, पहनने की जरूरत ही नहीं है?	అవి లేకుండా కూడా ఉండచచు, బహుశా?
पॉलिसी सरटिफिकेट जॉन पॉल विलियमस	పాలసీ సరటిఫికెట జాన పాల విలియమస
हाँ! चलो. उसने काफी समय ले लिया.	అవును! రండి. తను ఆలసయం చేసింది.
ऐसे समय में तो वह अपनी मौज-मसती पर ही धयान नहीं दे रही होगी ना?	ఇలాంటి కలిషటమెన సమయంలో కూడా తను తన కోరికలని చంపుకోలేకపోతోందా?
मैं बताता हूँ कया अजीब है, उसकी सालियों के परति उसकी दिलचसपी.	ఏది అసహజమో నీకు నేను చెపతాను, అతనికి తన మరదళల మీద ఆసకతి ఉండేది.
तुमहें लगता है मैंने उसे मारा?	తనని నేనే చంపాను అనుకుంటుననావా?
-मैं. . . -तुम कहाँ जा रही हो?	-నేను. . . -ఎకకడికి వెళతుననావు?
हाँ, वह दस साल पहले की बात है.	అవును, అంటే, అది పదేళల కిందట.
डिंग-डॉनग, कमीना मर चुका है.	డింగ డాంగ, ఈ చెతతవెధవ చచచాడు.
हमने परयापत धयान नहीं दिया. हमें और मेहनत करनी चाहिए थी.	మనం మన దృషటిని పకకదారి పటటించాం. మనం చాలా చేసి ఉండాలసింది.
