खैर, डालो.	చెపపు మరి.
दरअसल, बात यह है कि, जब एक याद को संपादित किया जाता है. . .	విషయం ఏంటంటే, మన జఞాపకాల మీద ఓ పొర పెయింట చేయబడినపపుడు. . .
जून.	జూన.
कि कया इनमें से कोई कभी उस संसथा का सदसय था.	ఆ వరగంలో సభయులుగా ఉననారో లేదో నువవు చెపపాలి.
नहीं.	కాదు.
इसका कया?	మరి ఇతను?
धत तेरी की. वह वहाँ गई थी. टोनी के घर. वह. . .	బాబోయ. తను టోనీ ఇంటికి వెళలింది. తను చాలా. . .
यह हम दोनों को पता है. वह डराइवर का काम कयों करता है?	అది మనిదదరికీ తెలుసు కదా. డరెవరుగా ఎందుకు చేసతుననాడు?
जैक?	జాక?
- तुमने चीजों को बेहद बदतर बना दिया है. - नहीं, मैंने बस. . .	- మీరు అంతా చాలా దారుణంగా చేశారు. - లేదు, నేను చేసినదలలా. . .
इस बारे में सोचो भी मत, समझे? यह तुमहारी गलती नहीं है.	దాని గురించి అససలు ఆలోచించకు, సరేనా? ఇది నీ తపపు కాదు.
बहुत-बहुत धनयवाद.	చాలా చాలా థయాంకస.
यह बस एक सटाइल है. यह. . .	అది సటయిల మాతరమే. అది. . .
अब मैं अपनी परतिभा खो दूँगा.	అపపటికి నాకునన పటటు పోతుంది.
जून. . .	జూన. . .
देखो, जेक.	చూడు, జేక.
नहीं, नहीं, नहीं, मॉरीन. मॉरीन, वह अनादर है.	అబబా, మౌరీన. నువవు దారుణానికి పాలపడుతుననావు.
कया हम कृपया खेलने जा सकते हैं? कृपया?	మేము వెళలి ఆడుకోవచచా? పలీజ, ఆడుకుంటాం.
इसलिए, तुमहें उसे दोष देना नहीं चाहिए.	కాబటటి, నువవు వాడిని అససలు తపపు పటటకు.
- मैंने नहीं दिया. - तुमने अभी-अभी कहा था.	- నేనేం తపపు పటటలేదు. - ఇపపుడే అననావు కదా.
समझ गया. हाँ. हाँ. मैं समझ गया. तुम कहना चाहती हो कि. . .	నాకు అరథమవుతోంది. బాగా అరథమవుతోంది. నీ ఉదదేశం ఏంటంటే. . .
मैं ठीक हूँ.	బాగానే ఉననా.
मिरास मनसूर,	మిరాస మనసూర,
किस आरोप पर?	ఏ నేరం కింద?
बहुत हुआ. समझी?	ఇక చాలు. సరేనా?
- वह. . . - उसे अंदर आने दो.	- అతను. . . - అతను రావచచులే.
कोई बात नहीं, जान. ठीक है? जाकर सो जाओ.	ఏమీ కాలేదు, బంగారం. సరేనా? వెళలి పడుకో.
यह लो.	ఇదుగో.
- माँ, आपको मुझे बताने की जरूरत नहीं. . . - नहीं. सुनो, जरूरत है.	- అమమా, ఇదంతా నువవు చెపపాలసిన పని లేదు. . . - లేదు. నేను చెపపాలి.
कॉलर?	మేడమ?
- कयोंकि उनहें उसके बाल पसंद नहीं हैं. - वह पुलिस सटेशन में नहीं हैं.	- ఎందుకంటే, వాళలకి అతని జుటటు నచచలేదు. - పోలీస సటేషనులో ఉంది ఆయన కాదు.
अंधेरी दुनिया में सवागत है. हालाँकि तुमहारा इससे कोई वासता नहीं है.	చటటానికి అతీతమెన పనులు ఉంటాయి. అయినా ఇదంతా నీకు సంబంధించింది కాదు.
मेरे एक दोसत के लिए छोटा सा अपारटमेंट चाहिए. उसका नाम पैटरिक है.	నా మితరుడు ఒకరికి సింగిల బెడ రూమ ఫలాట కావాలి. అతని పేరు పాటరిక.
यह एक नव-नाजी दल है. जिसे बलडलाइन के रूप में भी जाना जाता है?	అది నాజీజానికి వతతాసు పలికే వరగం. బలడ లెన అని కూడా అంటారు కదా?
हाँ, वह तुमसे बेहद परभावित थी. पर उसकी पसंद काफी अचछी है.	హా, తను ఆకరషితురాలు అయిపోయింది. తన టేసట బాగానే ఉంది అనుకో.
बरिटेन के पुलिस बलों के बीच बढती दकषिणपंथी संसकृति	యూకేలోని పోలీసులలో పెరుగుతునన విపరీతమెన ఛాందసవాదం
और मैं बेहतरीन गुससैल चेहरा बनाकर कल वहाँ जाऊँगा	రేపు ఆవేశంగా అకకడికి వచచి, ఉతతమ తండరిలా పరవరతిసతూ
मैं उसे बताना चाहती हूँ कि यह उसकी गलती नहीं है.	అందులో వాడి తపపేమీ లేదని నేను చెపపాలనుకుంటుననాను.
मेरा और मेरे बेटे का समरथन करना पडता है, या. . .	నాకూ, నా కొడుకకి దననుగా ఉండాలసి వచచినపపుడు. . .
