लंदन, इंगलैंड	లండన, ఇంగలాండ
आओ.	పద.
और तुमहारा काम खतम. वह अगले हवाई जहाज से जरमनी जा रही है.	నీ పని అయిపోయింది. అమె తరువాతి విమానంలో జరమనీకి వెళతుంది.
लगेगा कि वह तुमहारा साथ दे रही है, पर यकीन मानो,	ఆమె నీ వెపు ఉందని నువవు నమమవచచు, కానీ ననను నమము,
यह वीडियो आज सुबह का है, पर सेंटकॉम ने इसे अभी भेजा है.	ఈ వీడియో ఇవాళ పొదదునది, కానీ సెంటకోమ ఇపపుడే పంపించింది.
देशानतर 2547.	రేఖాంశం 2547.
हाँ.	సరే.
किंग एडवरड यूनिवरसिटी एगहैम, इंगलैंड	కింగ ఎడవరడ విశవవిదయాలయం ఎగం, ఇంగలాండ
- पढाई कैसी चल रही है? - मुशकिल है.	-కలాసులు ఎలా జరుగుతుననాయి? -కషటంగా.
थोरन	థారన
यार, मैंने लंदन में छह महीने पढाई की थी.	నేను నా సెమిసటర విదేశంలో, లండనలో చేసాను.
नहीं.	లేదు.
19 मई 13: 40 लंदन 20 मई 09: 56 लंदन	19 మే 13: 40 లండన 20 మే 09: 56 లండన
तुमने कहा कि यह कीमती है. कितना कीमती है?	అది విలువెనదని అననావు. అది ఎంత విలువెనది?
अगर वोगलर ने वह एकाधिकार तोड दिया, तो?	ఒకవేళ వోగలేర ఆ గుతతాధిపతయానని ఛేదిసతే?
कया बात है?	ఏంటి విషయం?
ठीक है. होजे को ले जाओ. वह माहिर है.	సరే. జోసటని తీసుకెళళు. అతను సమరధుడు.
यहाँ आने का शुकरिया, सेनयोर गरीयर.	వచచినందుకు ధనయవాదాలు, సెనయోర గరీర.
होजे आपके आदमियों के साथ कुछ दिन बिताएगा,	జోసట కొనని రోజులు మీ భదరత సిబబందితో ఉండి,
सच में, हैरियट.	నిజంగా, హారియట.
नहीं.	లేదు.
मैकस? मैकस!	మాకస? మాకస!
सिंकोपामास.	సింకోపాలమస.
उसकी एक बेटी भी है?	అతనికి కూతురు ఉందా?
कातिया जिला कराकस, वेनेजुएला	కాటియా జిలలా కరాకస, వెనెజులా
राषटरपति रेयस ने हम सबको धोखा दिया है!	పరెసిడెంట రేయేస మనందరికీ దరోహం చేసాడు!
लिवरपूल सटरीट सटेशन	లివరపూల సటరీట సటేషన
मैकस.	మాకస.
खैर, यह थोडा पेचीदा है.	అంటే, అది సంకలిషటమెనది.
मुझे नहीं पता कि वह कहाँ हैं. मैं कई महीनों से उनसे नहीं मिली.	అంటే, నాకు తను ఎకకడ ఉననాడో తెలీదు. తనను చూసి కొనని నెలలయయింది.
एनाबेल, वह वैसा नहीं है, जैसा तुम उसे समझती हो.	అననబెలలె, తన గురించి నువవు అనుకునేది నిజం కాదు.
एक मिनट, वैलेनटीना.	ఒకక కషణం, వాలేంటెన.
तुम अपने परिवार को समंदर किनारे घुमाने ले जाओगे.	నీ కుటుంబానని సెలవులకు సముదర తీరానికి తీసుకెళళు.
सब ठीक हो जाएगा.	అంతా బాగుంటుంది.
बात सही लगती भी है.	అది అరథవంతంగా ఉంది.
नहीं.	కాదు.
यहाँ की राजनीति को देखते हुए, मैं इससे जयादा कुछ नहीं कर पाऊँगा.	దీనికి సంబంధించిన రాజకీయలకు వసతే, నేను మీకు చేయగలిగిన సహాయం ఇంతే.
हमें मोकाराओ, एल वाले और लिबरटेडोर में जयादा काम करना होगा.	మన కృషంతా మాకరావ, ఎల వేల ఇంకా లిబరటెడార పెన కేందరీకరిదదాం.
मैंने अपनी वंशावली की जाँच करवाई थी. मैं आधा इंडियन हूँ.	నేను జనయుపరీకష చేయించుకుననాను. నాలో రెడ ఇండియన రకతం ఉంది.
यार, वह बहुत ही अजीब है. पता है न लोग कया कहते हैं?	బరో, అది భయంకరంగా ఉంటుంది. జనం ఏమంటారో తెలుసు కదా?
तुमने मेरा बिजनेस पलान देखा? कोई अचछी खबर सुनाओ.	ఆ వయాపార పరణాళిక చూసావా? ఏదెనా మంచి వారత చెపపు.
पहले नाम से बुलाने लगे हो. सुनने में मजेदार है.	మొదటి పేరు వాడుతుననావు. అది చాలా తమాషాగా ఉంది.
वह मुझे फोन करते हैं. हमेशा से ऐसा ही हुआ है.	తనే నాతో మాటలాడతాడు. ఎపపటి నుండో అలాగే ఉంది.
महँगाई के कारण पैसों की कोई कीमत नहीं रह गई.	దరవయోలబణం మన డబబుకు విలువ లేకుండా చేసతుంది.
तुमहारी रूममेट ने बताया कि तुम कहाँ पढती हो.	నువవు ఎకకడ చదువుకుంటావో నీ రూమమేట చెపపింది.
मैं यह सवाल हर रोज अपने आप से पूछता हूँ.	అది పరతి రోజు ననను నేను అడుగుతూ ఉంటాను.
सामान बाँधने में भी मेरी मदद करोगे कया?	నా సామానలు సరదడానికి కూడా సహాయం చేసతావా?
जहाँ तक मुझे इन हालातों का अनुभव है. . .	ఇలాంటి పరిసథితులలో నా అనుభవం అయితే. . .
इस वकत, टैनटलम पर चीन का एकाधिकार है.	పరసతుతం, టాంటలం పె చెనాదే గుతతాధిపతయం.
ठीक है, देखो, कोई दबाव नहीं डाल रहा,	సరే, చూడు, నినను బలవంత పెటటాలని కాదు,
तुमने मुझे ऐसी गलती न करना सिखाया है.	నువవు నాకు అంతకంటే ఎకకువ నేరపించావు.
कया मैं आपका परिचय पतर देख सकती हूँ?	నాకు ఏదెనా గురతింపులాంటిది చూపిసతారా?
उसने दो साल पहले बीएनडी छोड दिया था,	తను రెండేళళ కరితం బి ఎన డి వదిలేసాడు,
हम टरेन से वहाँ फटाफट पहुँच जाएँगे.	అకకడికి రెలులో అయితే తవరగా వెళళవచచు.
माफ करना, मैं समय पर नहीं पहुँच पाई.	నేను ముందే రాలేకపోయినందుకు కషమించు.
जिससे मैं पिछले अपरैल में मिली थी.	నేను బాగా తాగి ఉండవచచు, ఉండకపోవచచు.
हम सुबह तक उनके पास पहुँच जाएँगे.	పొదదునకలలా, వాళళను చేరుకోగలుగుతాం.
समझ सकता हूँ. सुनो, यह कैसा रहेगा? मैं कल उसे देख लूँगा. वादा रहा.	అరథం చేసుకోగలను. విను, ఒక పని చేదదామా? నేనది రేపు చూసతాను. ఒటటు.
जहाँ रहने का मौका भी नहीं मिलता.	అది వాడే అవకాశం నాకెపపుడూ రాదు.
एल हटीयो और सूकरे को मत भूलिएगा.	ఎల హటిలో ఇంకా సుకరని వదిలేయదదు.
और उनहें इसका जवाब देना होगा!	దీనికి అతనని బాధయుడిని చేయాలి!
परेषक: मॉनिटर@नॉरथलेकअलाइड. कॉम नंबर 1 पूरण, नंबर 2 बाकी	టు: మానిటర@నారతలేకఆలీడ. కాం #1 పరిషకరించబడింది, #2 పెండింగ
कराकस फाइल खाता: रूपरट थोरन	కరాకస ఫెల ఖాతా: రుపెరట తోరనే
यह बात किसी रिकॉरड में न आए.	ఇది అనధికారికంగా చేసతుననాం.
इस वकत, मैं एक ऑपरेटिंग सिसटम भेदने की कोशिश में हूँ.	సరే, ఇపపుడు, నేను ఒక ఓఎసని చేధించడానికి పరయతనిసతుననాను.
अब मैं तुमहें छोड रहा हूँ,	ఇపపుడు, నినను వదులుతుననాను,
इमतिहान के बाद छोड दूँगी.	మిడటరమస తరువాత వదిలేసతాను.
