गो ल !	గో ల !
- गो ल ! - गो ल !	- గో ల ! - గో ల !
मेरी बच ची .	నా బంగా రం .
यह सही कह रहा है .	వారు అనన ది నిజ మే .
यह बहुत बडा मै च है .	ఇది చాలా పెదద మయా చ .
वाह .	భలే .
हमारा नि रण य हैं ड गो ला है , है ना ?	హ యా ండ బ ాల అని చెపప ాలి , అంతే కదా ?
हाँ !	భలే !
पर अब न यू ट स ने गो ला चु रा लिया है .	కానీ , న యూ ట స బ ాల ని తీ సే సు కుననా రు .
नहीं .	లేదు .
पर अगर तुमहें ऐसा लगता है , तो अपने दिल की आवा ज सुनो .	కానీ నీకు అలాగే అనిపి సతే అపపుడు నీ మన సు చెపపే ది చె య .
और गो ला अंदर गया .	అలాగే గో ల చేశారు .
नहीं !	లేదు !
मुझे समझ नहीं आ रहा तुम इसका सं बं ध फु ट गो ले से कैसे जो ड सकती हो .	దీని ని నువవు ఫ ు ట బ ాల తో ఎలా పో ల చ గల వో నాకు అస స లు అరథం కా వడం లేదు .
हाँ . बिलकुल .	అవును . అంతే .
पर व हा इट टे ल स अपने म जब ूत बचा व के साथ तैयार हैं .	కానీ జి ంక లు తమ బ ల మెన డి ఫె న సు తో సిదధ ంగా ఉననాయి .
तुम यह संभाल लो गे .	నువవు ఇది చేయ గల వు .
चलो , सी धे काम की बात करें .	ఇక నే రు గా విష యా నికి వ దదాం .
नहीं .	లేదు .
इसे काम से निकाल दिया जाएगा .	వారి ని పని లో నుండి తీ సే సతా ం .
ओह , वाह .	ఓహ , భలే .
तुम हम पर गो ले फ ें क रहे हो कयोंकि हम न यू ट स के फै न हैं ?	మేము న యూ ట స అభి మా ను ల ం అని చెపపి మా మీద కు బ ాల ని త ననా రా ?
- गो ल ! - गो ल !	- గో ల ! - గో ల !
अचछा , पता है कया ?	సరే , ఒకటి చెపప నా ?
मुझे पास करो !	నాకు పా స చె య !
शुरू करने से पहले , कया मैं एक सवाल पूछ सकता हूँ ?	మనం మొద లు పెటట డానికి ముందు , నేను ఒక పర శ న అడ గొ చచా ?
सही है !	క రె క టు !
सही है !	క రె క టు !
सही है !	క రె క టు !
सही है !	క రె క టు !
बहुत बुरा .	చాలా తపపు !
सही है !	క రె క టు !
यह छ ल है . हमें बहुत चिंता हो रही थी .	చాలా మో సం చేసా వు ! మేము చాలా భయ పడ డా ం !
नहीं , हम यह जी त सकते हैं .	లేదు , మనం దీని లో గె లవ గల ం .
अरे !	హేయ !
यह काम कर रहा है !	ఇది పని చే సతోంది !
मुझे नहीं लगा था हम यह कर ल ेंगे .	మనం గె లు సతా ం అని నేను అనుకో లేదు .
हाँ !	భలే !
बढिया नि रण य !	గొపప నిరణ యం !
बढिया नि रण य !	మంచి నిరణ యం !
मुझे न यू ट स का लोग ो और उनके र ंग ों के साथ - साथ उनके ज शन मना ने का तरी का भी पसंद है : उ त त म .	నాకు న యూ ట స లో గో , దాని రం గు లు అలాగే ఆట గా ళలు వి జ యానని వే డు క చేసు కునే వి ధా నం ఇషటం : క లా సీ .
मैं चाह े देर से आई हूँ पर कम से कम मैं हमारे बु जु र ग जी वन दा ता के लिए कुछ लेकर आई हूँ .	నేను లే టు గా వచచి ఉండ ొ చచు , క నీ సం నేను వ ృ దధ ా ప యం లో ఉనన మన ము స లి పరా ణ దా త కు ఏమెనా తె చచా ను .
तुम शुरू में गो ले को ले जाना , उससे मेरे पास कोई नहीं होगा , तो तुम मुझे पास दे देना .	కాబటటి నువవు బ ాల ని మొద లు కు తీసు కె ళళు , నేను ఖ ా ళ ీ ఏ ర ప రు చు కుంటా , నువవు నాకు పా స చె య .
