अचछा, लिलीबग.	సరే, లిలలీబగ.
एक लडकी जिसमें कई राज छुपे थे.	రహసయాలు తెలిసిన అమమాయి ఉండేది.
एक समय पर, एक शहर था,	అనగనగా ఒక ఊరు ఉండేది,
एक समय पर, एक खेल था.	అనగనగా, ఒక ఆట ఉండేది.
पैनिक	పానిక
मैं बहुत बेकार गरलफरेंड हो सकती हूँ.	నేను చాలా ఘోరమెన పరేయసిని అవుతానేమో?
-ऐसे मत करो. -कया?	-అలా చేయకు. -ఏంటి?
दोनों इसमें शामिल नहीं हैं?	అయితే వాళళిదదరూ ఉననారంటావా?
मतलब, रे हॉल.	అతను, రే హాల.
कि उसे कया चाहिए, उसे कैसे हासिल करे.	ఎవరి గురించి, దేని గురించి ఆలోచించడు.
पापा की गाडी उससे महंगी है.	మా నానన కారు అంతకంటే ఎకకువ.
अचछा लगता होगा जब सारे खरचे पिता संभाले.	అననిటికీ చెలలించే నానన ఉండడం బాగుంటుంది.
मेरा हाथ छोडो, बिशप.	నా చేయి వదులు, బిషప.
हाँ. कोरटेज को जब पैनिक के बारे में पता चला, तो शक हो गया था,	అవును. కోరటెజకు పానిక గురించి తెలిసినపపటి నుండి అనుమానించాడు,
उसे अंदर का रासता चाहिए था.	అతనికి లోపలికి దారి కావాలి.
-कोरटेज को वही चाहिए. -यह बदले के लिए कर रहे हो?	-కోరటెజకు కావాలసింది అదే. -ఇదంతా పరతీకారం కోసమా?
तो, तुमने उससे कया कहा?	అయితే, నువవు ఏం అననావు?
मुझे. . .	నాకు. . .
अपनी माँ से लडाई हो गई.	అమమతో గొడవపడడాను, అంతే.
चलो. मारो मुझे.	రా. ననను కొటటు.
निशाना थोडा नीचे लगा.	నీ లకషయం కాసత చిననది.
उसे निकालने के लिए, तुम आगे से गुजर जाते?	మంటలలో నుండి వెళళి ఆమెను కనుగొంటావు, కదా?
दिमाग में घूमती तसवीरों को देखते,	నీ తలలో తిరుగుతునన బొమమలను చూసతూ,
मुझे लगा कि तुम खुश होओगे.	నువవు సంతోషిసతావనుకుననాను.
-इसकी अभी लत छूटी है. -हंट के लिए नहीं आया, शॉना.	-అతను ఏ నేరం చేయలేదు. -నేను హంట కోసం రాలేదు, షాన.
-यहाँ कयों आए हो? -तुमहारे लिए.	-ఇకకడకు ఎందుకు వచచావు? -నీకోసం.
मैं तुमहारी चुनौती लडूँगा. देखो.	నేను నీ సవాలు కోసం వచచాను. చూడు.
पहले से ठीक लग रहा है?	నీకు బాగా అనిపిసతుందా?
अचछी बात है.	నీకు మంచిది.
मायरा कैंपबेल?	మెరా కయాంపబెల?
एक वही ऐबी को वो चिटठियाँ लिख सकती थी.	ఆబీకి ఆ చీటీలు రాయగలిగింది ఆమె మాతరమే.
"खेल से निकल जाओ, वरना, " इस तरह की.	"ఆటనుండి తొలగిపో, లేదంటే, " లాంటివి.
कल, हम खेल देखने जाएँगे, तुम खुद देख सकती हो.	రేపు, మనం పొలం చూదదాము, అది ఎలా ఉంటుందో చూడు.
-गुड नाइट. -गुड नाइट.	-శుభరాతరి. -శుభరాతరి.
यह कया?	ఏంటిది?
कैसी चीज को?	ఎలాంటి చెతత?
अचछा? और बाकी की आधी?	అవునా? మరి మిగతా సగం?
-हम कहाँ जा रहे हैं? -लाशों वाली जगह.	-మనం ఎకకడికి వెళుతుననాం? -శవాల వదదకు.
मुझे डिगिनस परिवार में जनम लेना था.	నేను డిగగినస కుటుంబంలో పుటటాలసింది.
पिछली गरमियों में एक लॉकर में दो-दो थे.	గత వేసవిలో, మేము లాకరలలో రెండు పెటటాము.
सोने के बाद उतना छोटा नहीं लगता.	నీకు నిదరపటటాక ఇది చిననగా ఉండదు.
डरू!	డరూ!
नहीं.	లేదు.
तुमहें बस शककर की गोलियाँ खानी थीं.	నువవు చేయాలసిందలలా ఆ పంచదార మాతరలే.
-शॉना. -कया?	-షాన. -ఏంటి?
डेना?	డేనా?
वे हमारी योजना जानते हैं.	వాళళకు మన పరణాళిక తెలుసు.
डेना! धत.	డేనా! ఛా.
डेना!	డేనా!
विशेष परदरशन आज रात बार में	ఈరాతరి బారులో పరతయేక పరదరశన
