एक असली दुनिया में.	ఒక యదారథమెన చోటుకు.
इतनी बडी घुसपैठ के चलते	ఇంత భారీ సథాయిలో ఉలలంఘన
हमें ऑपरेटर का पता चल गया है.	మేము ఆపరేటర ఆచూకీ కనుగొననాము.
-हो गया. -मुझे जोडो.	-అయింది. -సంధానించు.
डरोन लॉक	డరోన లాక
डरोन लॉक	డరోన లాక
रुक जाओ! अभी के अभी अपनी बंदूक फेंक दो!	ఆగు! వెంటనే నీ చెతత తుపాకీని కింద పడేయ!
बरटन!	బరటన!
एलीटा.	ఎలీటా.
एलीटा.	ఎలీటా.
कया संभावना है?	నిజంగా నువవేనా?
यह कयों कह रही हो?	ఎందుకలా అంటుననావు?
मुझे पैसा नहीं चाहिए.	నాకు డబబు అవసరం లేదు.
नेकी करने वालों को कमीशन भी मिलता है?	మంచి పని చేయటానికి కమీషన ఇసతారా ఏంటి?
उसमें कया हरज है?	అందులో హాని ఏంటి?
मैं पद की सादगी की सराहना करता हूँ.	ఆ పేరులోని మోటెన సరళత నాకు నచచింది.
तुमहारा दोसत, मिसटर नेदरटन.	మీ సనేహితుడు, మిసటర నెథరటన.
कठोर बनना होगा?	కరూరంగా ఉండాలా?
उसे उस बारे में बात करना पसंद नहीं. सरल सा है.	అతనికి దానిపె మాటలాడాలని లేదు. చాలా నిరాడంబరం.
एलीटा वेसट	ఎలీటా వెసట
यह सच नहीं है.	అది నిజం కాదు.
उनका दरद बढता रहा है कया?	ఆమె నొపపి తీవరమవుతూ ఉందా?
हमने उनहें पैसे भेज दिए.	మందులకొటటుకు డబబు పంపాం.
तो फिर किसी को भेजो.	అయితే ఎవరినెనా పంపు.
फारमा जॉन	ఫారమా జాన
किस बारे में?	దేని గురించి?
तुमसे किसने कहा?	నీకెవరు చెపపారు?
किसमत ठीक रही तो.	నాకు అదృషటం ఉంటే.
कॉफी जोनस	కాఫీ జోనస
मुशकिल बात यह नहीं है.	ఇది కషటమెన విషయం కాదు.
इसमें यकीन न करने वाली कौन सी बात है?	ఇందులో నమమశకయం కానిదేదో తెలియడం లేదు.
