और चाबियाँ?	మరి తాళాలు?
किसी ने हमारा पीछा करने की या हमें रोकने की कोशिश की,	ఎవరెనా మమమలని అనుసరించినా, మమమలని ఆపాలని పరయతనించినా,
उनहोंने रासता पहले ही सोचा हुआ था.	ఇది ముందుగానే పలాన చేసుకునన మారగం.
सटुअरट!	సటువరట!
बाहर जाओ.	బయటకి రా.
तुम इसमें मत पडो. यही हो रहा है. हम यही कर रहे हैं.	నువవు పటటించుకోకు. జరిగేది ఇదే. మేము చేసతుననది ఇదే.
और जिसे भेजनी है, भेज दो. और तुमहारा काम पूरा हो जाएगा.	ఎవరికి కావాలో వాళలకి అది పంపించు. దాంతో పని అయిపోతుంది.
नहीं, यह सच नहीं है.	లేదు, అది నిజం కాదు.
एडगर.	ఎడగర.
कार रोको.	కారు ఆపు.
{\an8}सैम नेलसन	{\an8}సామ నెలసన
मारशा समिथ-नेलसन.	మారషా సమిత-నెలసన.
नहीं चल सकते.	మనం వెళలలేము.
यह कितना होता. . .	ఎంత దూరం అంటే. . .
हाँ? अचछी बचची.	సరేనా? గుడ గరల.
अब सब कुछ काबू में है, हाँ?	అంతా అదుపులోనే ఉందా, చెపపు?
फीलिकस.	ఫెలికస.
केए29.	కెఎ29.
तुम एक भरषट आदमी हो. और इसीलिए मैंने तुमहें यहाँ बुलाया है.	నువవు అవినీతిపరుడివి. నీకే ఎందుకు ఫోన చేశాను అనుకుంటుననావు?
काम हो गया.	అయిపోయింది.
हमें कैसे पता होगा तुम कौन से रासते पर हो?	ఏ రోడడుని బలాక చేయాలో మాకు ఎలా తెలుసతుంది?
मैं वही देख रहा हूँ.	నేను అదే చేసతుననాను.
पुलिस.	పోలీస.
पुलिस.	పోలీస.
- कहाँ? - वहाँ देखो.	- ఎకకడ? - అకకడ చూడు.
हो सकता है हमें भी लडना पडे.	మనకి మరొక అవకాశం ఉండకపోవచచు.
हद है.	హమమయయ.
ठीक है. शुकरिया.	విననాము. థాంకయూ.
केए29. . .	కెఎ29. . .
एडगर.	ఎడగర.
अब तुम दो मौतों के जिममेदार हो.	మీరు ఇపపటికి ఇదదరిని చంపించారు.
नहीं, नहीं.	లేదు, లేదు.
लो इसे!	తీసుకో!
ओय!	ఓయ!
मुझे दो. वह मुझे दो.	ఇటు ఇవవు. నాకు ఇవవు.
- यही समय है. - चलो, करते हैं.	- ఇదే సమయం. - మనం దాడి చేదదాం.
कया हो रहा है?	ఏం జరుగుతోంది?
तुम यह कया खेल खेल रहे हो?	మీరు ఎవరితో ఆటలాడుతుననారు?
मैं जानता हूँ यह किसने किया.	ఇది ఎవరు చేశారో నాకు తెలుసు.
वह पेन. कहाँ है वह पेन?	ఆ పెనను. అది ఎకకడ ఉంది?
आगे पढो.	కానివవు.
यह तुम कया कह रहे हो?	నువవు జోక చేసతుననావు.
- और गृह मंतरालय का फैसला यही है! - वे मासूम लोगों की जानें ले रहे हैं!	- ఇంకా ఇది హోమ శాఖ నిరణయం! - వాళలు అమాయకుల పరాణాలని బలి తీసుకుంటుననారు!
पलीज. नहीं. इनहोंने तुमहारी मदद की थी.	పలీజ. ఇలా చూడు. అతను మీకు సాయం చేశాడు.
किसकी मौत आई है? तुमहारी?	ఎవరు చావబోతుననారు? నువవా?
- ये वही हैं. - ठीक है.	- అది వాళలే. - విననాము.
. . . कि एक बरिटिश यातरी विमान,	. . . అది ఒక బరిటీష పౌర విమానం,
दो टारगेट वाहन से बाहर आ रहे हैं.	ఇదదరు టారగెటలు వాహనం దిగుతుననారు.
यह वह नहीं है. यह यैनसन नहीं है.	అది అతను కాదు. అతను జానసెన కాదు.
पलीज!	పలీజ!
मुझे सशसतर बल चाहिए, विशेष बल चाहिए. इस समय हमारा परमुख लकषय यही है.	నాకు సాయుధ బలగాలు, సపెషల ఫోరసెస కావాలి. ఇదే పరసతుతం మన పరధాన లకషయం.
- कया? - हमारा रासता बंद कर दिया है. हमें जानबूझकर रोक रहे हो.	- ఏంటి? - రోడడు బలాక అయింది. మమమలని కావాలని ఆలసయం చేసతుననారు.
हमें किसी एक को चुनना ही होगा. किसी एक को चुनो. काम पूरा करो.	మనం ఎవరినో ఒకరిని ఎంచుకోవాలి. ఒకళలని ఎంచుకో. పని పూరతి చేయి.
कय. . . परभाव डालने के लिए. पता नहीं. और कया वजह हो सकती है?	ఎందుకంటే. . . పరతీకారం కోసం. నాకు తెలియదు. అందుకే అయి ఉండచచు.
- शुकरिया. हम यह बात जानते हैं. - और परधानमंतरी कारयालय भी.	- థాంకయూ. ఆ సంగతి మాకు తెలుసు. - అలాగే పరధాని కారయాలయం కూడా.
- और "मुसीबत" का मतलब. . . - वह विमान हाइजैक कर लिया गया है.	- నువవు "పరమాదం" లో ఉంది అంటే. . . - ఆ విమానం హెజాక అయింది.
{\an8}- टारगेट वाहन. दो मिनट में आ रहे हैं. - ठीक है.	{\an8}- టారగెట వాహనాలు. రెండు నిమిషాల దూరం. - విననాము.
जैसा कि मैंने कहा, अभी इसकी पुषटि होना बाकी है,	ముందే చెపపినటలు, ఇది ఇంకా అధికారిక సమాచారం కాదు,
और इनके गायब होने पर किसी को पता तक नहीं चलेगा.	కాబటటి ఎవరెనా చనిపోయారనే విషయం ఎవరికీ తెలియదు.
कोई फायदा नहीं. वे हमें पहले ही देख चुके हैं.	అందులో అరథం లేదు. వాళలు మమమలని ఇపపటికే చూశారు.
तो करू में से किसी को मारोगे तो बेहतर होगा,	కాబటటి మీరు విమానం సిబబందిని అయినా చంపచచు,
{\an8}देखो, वहाँ एक घंटा, 37 मिनट लिखा है.	{\an8}ఇంకా గంటా 37 నిమిషాలు అని చూపిసతోంది.
और उन. . . उन नंबरों पर फोन करते रहते हैं.	ఇంకా మనం. . . మనం వాటిని పరయతనిసతూ ఉందాం.
इन लोगों के कहीं भी भाग निकलने से पहले, विमान को नीचे उतरने का हर संभव मौका देना.	ఈ నేరగాళలు ఎకకడికెనా తపపించుకునేలోగా ఆ విమానం కషేమంగా దిగే పరతి అవకాశానని కలపిసతాం.
- सुनो. . . - यह एक सोची-समझी चाल है.	- విను. . . - ఇది పథకం పరకారం చేసినది.
सभी पोरटस को तुरंत एक चेतावनी भेजो.	వెంటనే అనని పోరటులని అపరమతతం చేయండి.
टारगेट वाहन दिखाई नहीं दे रहा है.	టారగెట వాహనం మీద నిఘా కెమెరా లేదు.
तुमहें यह समझ कयों नहीं आ रहा है?	మీకు ఇందులో ఏది అరథం కావడం లేదు?
सथानीय पुलिस को सूचना दे दी गई है और वे रासते खाली करवा रहे हैं.	లోకల పోలీసులకి సమాచారం అందించడంతో వాళలు ఆ దారిలోకి రావడం లేదు.
ये एक और गेट खोल रहे हैं. तुमहें कया लगता है ये और कया करेंगे?	వాళలు అవతలి వెపు గేటు తెరుసతుననారు. ఇంకేం చేసతారు అనుకుంటుననావు?
- गृह सचिव के पास होते हैं. . . - हमें फिर भी इसे रोकना होगा.	- సరవ అధికారాలు ఆయనకే ఉననాయి. . . - అయినా కూడా మనం దానని ఆపాలి.
जो कुछ भी हो रहा है, एडगर, हमारा उससे कोई लेना-देना नहीं है.	అకకడ ఏం జరుగుతుననా కానీ, ఎడగర, దానికీ మాకూ ఎలాంటి సంబంధం లేదు.
देखो कया दरवाजे के पास कोई है.	తలుపు దగగర ఏమెనా ఉందేమో చూడు.
उसने मुझसे अभी-अभी कहा है. वे एक और यातरी को मारने वाले हैं.	అతను ఇపపుడే నాకు చెపపాడు. వాళలు ఇంకో మనిషిని చంపబోతుననారు.
नहीं. यह बाहर जाकर कुछ बोलेगा, तो हमारी मुशकिलें बढ जाएँगी.	లేదు. తను వెళలి, అందరికీ చెబుతాడు, మరినని సమసయలు తెసతాడు.
जिसे कुछ ही देर पहले "इनवेसटमेंट डेली" ने रीटवीट किया है,	కొదది కషణాల కిందట ఇనవెసట మెంట డెలీ సంసథ రీటవీట చేసింది.
हमें एक यातरी को मारना है और उसकी तसवीर खींचकर भेजनी है.	ఒక పయాసింజర ని చంపుతుననాం, ఒక ఫోటో తీసుకుని, పంపిసతాం.
और बेलट से मारना भी अचछा रहेगा, कयोंकि शोर नहीं होगा.	ఇంకా ఆ బెలటు కూడా తెలివెన పనే, ఎందుకంటే అది శబదం చేయదు.
ऐसे रखना ताकि हमें दिख सके.	ఆమె మాకు కనిపించేలా పెటటు.
जितना समय "पॉ पटरॉल" के पाँच एपिसोड देखने में लगता है.	అది. . . అది 'పా పెటరోలస' ఐదు ఎపిసోడలు చూసినంత సేపు.
इनका दिमाग खराब हो गया है.	వాళల బురరలు పని చేయడం లేదు.
यह तुमहारी तरकीब थी, दोसत.	అది నీ ఐడియా కదా, మితరమా.
अगर आप खतरे में हैं, तो आप अपने टेलीफोन पर 55 दबाएँ.	మీరు పరమాదంలో ఉంటే, మీరు మీ టెలిఫోనులో 55 నొకకండి.
या हम इंकार कर सकते हैं.	లేదా మనం ఎదురు తిరగచచు.
या फिर उसे यह भी पता है कि उसके यातरी कौन हैं.	లేదా తన పరయాణికులు ఎవరో ఆ పెలెట కి తెలియకపోవచచు.
हम इनहें इतनी आसानी से नहीं जाने दे सकते. - वे जो चाहे, कर सकते हैं.	- వాళలని ఊరికే అలా వదిలిపెటటము. - వాళలు ఏం చేయాలనుకుంటే అది చేయనివవాలి.
जिस मोबाइल से उनहोंने फोन किया था, वह बंद है.	వాళలు ఫోన చేసిన నెంబరు పరసతుతం సవిచాఫ అయి ఉంది.
हाँ, लेकिन अगर ऐसा दोबारा हुआ तो? अगर इनहें एक और लाश की जरूरत पडी तो?	సరే, కానీ అలాంటి పరిసథితి మళలీ తలెతతితే? మరొక శవం ఫోటో కావాలి అంటే?
उसे लगता है यह उसे रोककर रखने की चाल है. उसे फँसाने की एक कोशिश है.	మనం వయూహం పరకారం ఆలసయం చేసతుననాం అంటుననాడు. ఇది ఒక ఉచచు అనుకుంటుననాడు.
