तुम कौन हो?	ఎవరు నువవు?
मेरे लिए ये लोग कोई मायने नहीं रखते.	ఈ జనం ఎవవరూ నాకు ఏ మాతరం ముఖయం కాదు.
- तुम आखिर हो कौन? - तुम लोगों ने जलदी शुरू कर दिया, है ना?	- నువవు అసలు ఎవరు? - మీరు చాలా తవరగా పని మొదలుపెటటారు, కదా?
नेलसन - सैम बरिटिश नागरिक	నెలసన - సామ బరిటీష పౌరుడు
सैम नेलसन?	సామ నెలసన?
नहीं!	వదదు!
हम चाहते हैं कि आप अपनी-अपनी सीटों पर बैठे रहें और अपनी कुरसी की पेटी बांध लें.	మీ సీటలలో మీరు కూరచుని సీటు బెలటులు పెటటుకుని ఉండాలసిందిగా మిమమలని కోరుతుననాను.
बढिया, इसे मुझे दो.	సరే, అది నాకు ఇవవు.
एक बार और देखो.	ఇంకొకసారి చూడు.
नहीं. यहाँ नहीं, मेरे दोसत.	లేదు. ఇకకడ ఆడకూడదు, మితరమా.
लेकिन उसकी आवाज.	కానీ అతని గొంతు.
तो तुमहें अब कुछ करने की जरूरत नहीं है?	అయితే నువవు ఇపపుడు ఏమీ ముటటుకోనకకరలేదా?
नहीं. हीथरो पहुँचने के एक घंटे पहले तक नहीं.	లేదు. హీతరో చేరుకోవడానికి ఒక గంట ముందు వరకూ.
कया हो रहा है?	ఏం జరుగుతోందా?
हैलो? नीचे बैठो.	హలో? కింద కూరచో.
मैं अपना फोन चालू रखूँगा.	నా ఫోను ఆన లోనే ఉంచుతాను.
मारशा.	మారషా.
2डी	2డి
2डी: यहाँ बातें करें.	2డి: ఇకకడ చాట చేయండి.
अपना संदेश टाइप करें	మీ సందేశం టెప చేయండి
1के: अभी तक कुछ नहीं.	1కె: ఇంకా ఏం తెలియదు.
मैंने कहा था?	నేను చెపపానా?
अबदुलला.	అబదులలా.
1के: इराकी एटीसी विमान से संपरक करेंगे. लेकिन उनहें कोई जवाब नहीं मिलेगा.	1కె: ఇరాకీ ఎటిసి మన విమానానని కాంటాకట చేసతారు. కానీ ఎలాంటి సమాధానం ఉండదు.
इराक	ఇరాక
{\an8}किंगडम 2-9.	{\an8}కింగడమ 2-9.
कया आप कैपटन बोल रही हैं?	మాటలాడుతుననది కెపటెన కదా?
ठीक है. मैं जाता हूँ.	సరే. నేను వెళతుననాను.
किंगडम 2-9.	కింగడమ 2-9.
जाबेल अली अबू धाबी	జెబెల ఆలి అబు దాబి
माइकल?	మెఖేల?
अपना मैसेज टाइप करें	మీ సందేశం టెప చేయండి
यह सिरफ एक तरह का संकेत हो सकता है कि कुछ गडबड है.	ఏదెనా దారి తపపితే, విమానంలో ఏదో సమసయ ఉందని సంకేతం.
नीला!	నీలా!
नीला?	నీలా?
नीला?	నీలా?
बाथरूम साफ करना आसान होता है.	బాత రూములు శుభరం చేయడం తేలిక.
देरी से उडेगी. मैंने तुमहारी केएलएम देख ली थी. माइकल ने तुमहारी सविस एयर संभाल ली.	ఆలసయం అయింది. నీ కెఎలఎమ కూడా నేను చూసుకుననాను. నీ సవిస ఎయిర ని మెఖేల చూసుకుననాడు.
सब जानते हैं कि पायलट सिरफ उडान भरते हैं और विमान को नीचे उतारते हैं.	పెలెటలు కేవలం టేకాఫ ఇంకా లయాండింగ మాతరమే చేసతారని అందరికీ తెలిసిందే.
सिरफ वही करें जो वे लोग कहते हैं जिनका इस समय इस विमान पर कबजा है.	ఈ విమానం పరసతుతం సవాధీనం చేసుకునన వారి ఆదేశాలను మాతరమే అనుసరించండి.
उनहोंने दुबई के हवाई अडडे के लोगों से बात की. वे बिना वजह डर गए थे.	వాళలు దుబాయ లో, ఎయిర పోరట సిబబందితో మాటలాడారు. అది తపపుడు హెచచరిక.
दुबई के पास पहले ही एक फोन आ चुका था. समसया पहले ही हल हो चुकी थी.	అంతకుముందే దుబాయ కి ఒక కాల వెళలింది. అది అపపటికే పరిషకారం అయింది.
- खराब हो जाएँगे. मेरी बात सुनो. . . - पेटी से अपना हाथ हटाओ.	- ఘోరంగా మారతాయి. నా మాట విను. . . - ఆ బెలటు మీద నీ చేయి తీయి.
इस सबका मतलब यह है, साइमन, कि मुझे दस मिनट की देर हो जाएगी.	ఈ అనని కారణాల వలల, సెమన, నేను పది నిమిషాలు ఆలసయంగా వసతాను.
मैं कर सकता हूँ, पर वाईफाई चल रहा हो तो कोई भी कर सकता है.	అంటే, మాటలాడగలను, కానీ వె-ఫె ఆన లో ఉంటే ఎవరెనా సంపరదించచచు.
जैसा कि मैंने कहा था, मैं बस घर जाना चाहता हूँ.	నేను ముందే చెపపినటలు, నాకు ఇంటికి వెళలాలని ఉంది.
पलीज, जारा. मैंने उससे कहा है मैं कोशिश करूँगा.	పలీజ, జాహరా. నేను చూసుకుంటానని తనకి హామీ ఇచచాను.
वह पाँच घंटे बाद हमारी हवाई सीमा में आएगा.	మన గగనతలంలోకి రావడానికి ఐదు గంటలు పడుతుంది.
देखो, कल ही बॉबी का अपेंडिकस निकलवाया है,	చూడు, బాబీకి నినన అపెండికస సమసయ వచచింది,
या हम वहाँ के एटीसी से संपरक करने. . .	లేదంటే మనం ఎటిసి దవారా పరయతనించచచు. . .
किसी ने गोली चला दी, मैंने बस यही सुना.	తుపాకి పేలింది, నాకు అదే వినిపించింది.
तो, आपने ऐसा कयों कहा कि कैपटन आप हैं?	అపపుడు, నేనే కెపటెన అని ఎందుకు చెపపావు?
- वे पी. ई. के लिए हैं. - वेलकरो पहनो.	- ఇవి ఫిజికల ఎడయుకేషన కోసం. - వెలకరో.
हे! जो तुम चाहते हो, वह कर तो रही हैं.	హేయ! ఆమె నువవు అడిగింది చేసతోంది కదా.
केए29 के यातरी इस कषेतर में होंगे. दूसरी फलाइट के यातरियों के साथ.	కెఎ29 పరయాణికులు ఈ పరాంతంలో ఉననారు. మిగతా విమానాల పరయాణికులతో కలిసి.
बीए9850, अब आप उडान भर सकते हैं.	బిఎ9850, మీ టేకాఫ కి అనుమతి ఉంది.
पलाजा में हम दोनों साथ खाना खाएँ.	పలాజాలో ఇదదరి కోసం టేబుల కావాలి.
कयोंकि कॉकपिट में कोई नहीं है.	ఎందుకంటే కాక పిట లో ఎవవరూ లేరు.
कुछ नहीं, बिलकुल भी कुछ न. . .	ఏమీలేదు, ఖచచితంగా ఏమీ లేదు. . .
