मॅकसिमस.	మాకసిమస.
सच जानो कि बारब कहाँ काम करती है.	మీ ఆవిడ చేసే పనిపె నిజం తెలుసుకో.
मिसटर हावरड?	మిసటర హావరడ?
सैंडरा?	శాండరా?
बात यह है, डैडी जी, मुझे तो लगता है कि	సరే, చూడు, పెదదాయనా, నేనేం చెపపగలనంటే,
तुमहारी छोटी बहन को भी.	నీ చిటటి చెలలెలితో సహా.
मैं यहाँ से जाने वाला हूँ या फिर तुम मुझसे बदला लोगे	నేను ఇవాళ నిజంగా వెళలిపోతానా, లేదా నేను నీ సోదరుడికి
टॉमी!	టామీ!
इतनी ही बकवास सहन होगी.	ఇంతకంటే సోది భరించలేను.
मि. हॉवरड?	మి. హావరడ?
कुछ खरीदने के लिए वॉलट-टेक ने कितने पैसे दिए आपको?	వాటిని మీరు వదిలేయడానికి వాలట టెక ఎంత చెలలించింది?
वे सभी कंपनियाँ खरीद लीं जहाँ मैंने कभी काम किया था.	అడుగు పెటటి, నేను పని చేసిన పరతి కంపెనీని కొనేసింది.
एक करोडपति कमयुनिसट?	కమయూనిసట కోటీశవరులా?
मैंने देखा तुमने उनहें पकड रखा है.	ఆ పేద మహిళలను మీరేం చేశారో చూశాను.
कि वैजञानिकों को खुली छूट देने पर कया होता है.	ఏం జరుగుతుందని మనం ఓ కేస సటడీగా ఉపయోగించకూడదు.
माफ करना, मैंने इसे बहुत समय से नहीं देखा है.	మననించు, నేను చాలా కాలంగా ఆ ఫుటేజీని చూడలేదు.
परयोगशाला में मैंने. . . आपके डॉकटरों को. . .	పరయోగశాలలో, నేను. . . మీ డాకటరలను చూశాను. . .
नहीं.	లేదు.
लाल रॉकेट	రెడ రాకెట
ठीक है. हाँ.	సరే. అంతేలే.
बरदरहुड से संपरक करके यह सिर उनहें देना है.	సోదరజాతిని సంపరదించి, ఈ తలను తిరిగి ఇవవాలి.
{\an8}इजेकट	{\an8}ఎజెకట
हाँ, पर इससे लोगों की मदद कर सकता हूँ.	అవును, కానీ ఈ కవచంతో పరజలకు సాయపడగలను.
सीपियों की याद आ रही है?	ఆ ఆయసటరల గురించి ఆలోచనా?
टाइटस, तुम अचछे इंसान हो.	నువవు మంచి మనిషివి, టెటస.
