लिजी?	లిజీ?
- केट! -. . . सात. . .	- కేట! -. . . ఏడు. . .
-लिजी. -. . . पाँच,	- లిజీ. -. . . ఐదు,
मॉमी!	అమమా!
लिजी.	లిజీ.
कीयर - एलेगजेंडर बरिटिश नागरिक	కీయర - అలెగజాండర బరిటీష పౌరుడు
सुनो. . .	విను. . .
यूसुफ.	యూసుఫ.
अचछा, वह बिजनेस कलास और आम सीटों के बीच वाली जगह में है.	ఆమెను బిజినెస కలాస ఇంకా మామూలు సీటల మధయ ఉనన అరలో ఉంచాను.
मेरे पास सैम नेलसन के लिए एक पैकेज है.	సామ నెలసన కోసం నేను ఒక పయాకేజ తెచచాను.
- कया यह सही है? - हाँ, लेकिन. . .	- అది సరెనదేనా? - అవును, కానీ. . .
कोई बात नहीं. यह मेरे साथ हैं.	ఫరవాలేదు. అతను నా కోసం వచచాడు.
वह औरत.	ఆ మహిళ.
उसे मत छूओ. मुझे अब दोबारा से सब करना पडेगा.	అది అకకడ ముటటుకోకు. నేను ఇదంతా మళలీ తుడవాలి.
-फलाइट में, किसी ने मुझे लात मार दी. -लात मार दी?	- ఇందాక గొడవలో, ఎవరో ననను తననారు. - నినను తననారా?
इसका कया मतलब है?	దాని ఉదదేశం ఏంటి?
लेकिन अगर वह उसे पकडेगी तो चिपका नहीं पाएगी.	కానీ ఆమె ఒకే సమయంలో పటటుకుని, కటటలేకపోతోంది.
टेरी?	టెరీ?
ठीक है. लगाओ.	సరే. కానివవు.
नहीं.	చెతత.
डारियस.	డారియస.
-मैं ऐसी गलतियाँ नहीं करता. -हाँ, बिलकुल.	- నేను ఊరికే నోరుజారను. - లేదు, ఖచచితంగా.
नहीं.	లేదు.
और मैं इस विमान पर मौजूद बाकी लोगों जैसा ही हूँ. तुमहारे जैसा ही हूँ.	ఇంకా నేను ఈ విమానంలో ఉనన ఎవరికననా నేను భిననమెన వాడిని కాను. నీతో సహా.
तो, अगर वे परेशान हैं, हमें भी परेशान होना पडेगा.	అయితే, వాళలు ఆందోళన పడితే, మనం కూడా ఆందోళన పడాలి.
- बंद करो. . . - सब लोग, खिडकियाँ अभी बंद करो!	- మూసేయండి. . . - అందరూ, వెంటనే తెరలు దించండి!
इसका मतलब है यह नेटो का भी हो सकता है.	అంటే అది బహుశా నాటో యుదధవిమానం కావచచు.
मेरा मतलब है, अगर उनकी जगह हम होते,	నా ఉదదేశం, దీనినే ఇంకోలా చెపపాలంటే,
फारस की खाडी दुबई	పెరషియన గలఫ దుబాయ
लंदन	లండన
रोमानिया बुकारेसट	రొమేనియా బుకారెసట
"बंदे को"?	"కురరాడా"?
और उनहें कया बताया गया है?	అయితే పరధానికి ఏం చెపపారు?
नहीं.	చెతత.
हमें दवाइयाँ चाहिए.	మాకు మందులు కావాలి.
जो कुछ भी हुआ है, उनमें से कुछ भी, हाँ? जैसा हम हमेशा कहते थे. . .	ఇంతవరకూ జరిగినవి అననీ కూడా, సరేనా? అంటే మనం ఎపపుడూ అనుకుననటలు. . .
आपने सुना मैंने कया कहा?	నేను ఏం చెపపానో విననావా?
मैं डॉकटर हूँ.	నేను డాకటర ని.
कोई एल. एटरटन और एस. एटरटन हैं.	అది ఎల. అటెరటన ఇంకా ఎస. అటెరటన.
मारस, तुमहें आदेश का पालन करना है.	మారస, మీరు ఆదేశాలను పాటించాలసిందే.
-ओह, यह कया. -इसकी साँसें चल रही हैं?	- ఓహ, చెతత. - ఇతను శవాస పీలుసతుననాడా?
काई?	ఖాయ?
काई?	ఖాయ?
काई?	ఖాయ?
-जरा सुनिए. -नहीं, कोई बात नहीं.	- ఎకస కయూజ మీ. - లేదు, ఫరవాలేదు.
इनहोंने ऐसा दूसरी बार किया है. कितने गैरजिममेदार हैं.	వాళలు ఇలా చేయడం ఇది రెండోసారి. వాళలని నమమడానికి లేదు.
- देखा तुमने? अपनी जान बचाने का साकषात उदाहरण? - मैं ऐसा कुछ नहीं कर रहा हूँ.	- నువవు ఇది చూశావా? పరతయకషంగా తపపించుకునే పరయతనం? - నేను చేసతుననది అది కాదు.
- आपकी गरदन पर ये डराइंग कयों बनी हुई हैं? - नहीं, यह नहीं. ऐसा नहीं कहते.	- నీ మెడ మీద ఆ బొమమలు ఎందుకు ఉననాయి? - లేదు, అది కాదు. మనం అలా మాటలాడకూడదు.
जैसे ही तुम ऐसा बोलने लगोगे, तुमहारा शरीर इस पर भरोसा करना शुरू कर देगा.	నువవు అలా మాటలాడటం మొదలుపెడితే, నీ శరీరం కూడా అదే నమమడం మొదలుపెడుతుంది.
या जो भी करो, लेकिन अगले दो मिनट के लिए तुमहारा धयान अपने फोन पर नहीं,	లేదా ఏదెనా చేయండి ఎందుకంటే మనం ఇపపుడు విదేశాంగ మంతరితో మాటలాడబోతుననాం
अपनी उस घटिया सुरीली आवाज में, जो तुम सब निकालते हो, उन सबसे कहो	పాట పాడినటలు మంచి సవరంతో మీరు చెబుతారు కదా, అలా వాళలందరికీ చెపపు,
- खिडकियाँ खोल दो. वे चले गए हैं! - ऐसा मत करो. खिडकियाँ मत खोलो.	- కిటికీలు తెరవండి. వాళలు వెళలిపోయారు! - వదదు. కిటికీలు తెరవదదు.
आप सुन रहे हैं? किंगडम 2-9, अगर आप यह संदेश सुन रहे हैं. . .	మీరు వింటుననారా? కింగడమ 2-9, మీరు ఈ పరసారానని వింటే గనుక. . .
किंगडम 2-9, आप नेटो दवारा संरकषित हवाई कषेतर में उड रहे हैं.	కింగడమ 2-9, నాటో సంరకషణలో ఉనన గగనతలంలోకి మీరు పరయాణిసతుననారు.
उनसे कहो जो कुछ हुआ, उसमें हमारी कोई गलती नहीं. ठीक है?	ఇందాక జరిగిన దానికి మనం కారణం కాదని అతనికి చెపపు. సరేనా?
तुम बिलकुल मेरे जैसे हो. तुम भी अपने घर जाओगे, ठीक है?	నువవు కూడా నాలాంటి వాడివే. నువవు ఇంటికి వెళతావు, కదా?
जेट विमान चले गए हैं. इनहें बाहर देखने दो. -रुक जाओ!	- యుదధవిమానాలు వెళలిపోయాయి. వాళలని చూడనివవు. - ఆగండి!
और यह सुनिशचित करती हूँ कि विमान सही करम में उतरें.	ఇంకా విమానాలు సకరమంగా దిగేలా జాగరతతలు తీసుకుంటాను.
यह नहीं कि विमान के लोगों को कैसे बचाया जाए. . .	విమానంలో జనానని ఎలా రకషించాలి అనే ఆలోచన లేదు. . .
हमें उनहें यही बताना है. ये अपहरणकरता बरिटिश हैं.	వాళలకి మనం అదే చెబుతాం. ఈ హెజాకరలు బరిటీష వాళలు.
सोरेसकू. डारियस सोरेसकू. रोमानिया के गृह मंतरी.	సోరెసకయూ. డారియస సోరెసకయూ. రొమేనియా హోమ మంతరి.
मैं यहाँ नहीं आना चाहता था. मैंने उनसे कहा था.	నాకు ఈ పని చేయడం ఇషటం లేదు. వాళలకి అది చెపపాను.
देवियों और सजजनों, अगर विमान में कोई डॉकटर है,	లేడీస, జెంటిలమెన, విమానంలో ఎవరెనా డాకటర ఉంటే,
ठीक है. तुम बैठ सकते हो? तुम बैठ सकते हो, हाँ?	సరే. నువవు కూరచోగలవా? నువవు కూరచోగలవా, చెపపు?
तुमहें जो भी कहना है, तुम वहीं से कह सकते हो.	నీకు ఏమెనా చెపపాలని ఉంటే, అకకడి నుండే చెపపచచు.
बहरहाल, लैंग के कारयालय ने सथगित कर दिया है.	అననటలు, లాంగ కారయాలయం ఇపపుడే వాయిదా పడింది.
- लिजी! लिजी? - केट, वापस अपनी सीट पर जाओ.	- లిజీ! లిజీ? - కేట, వెళలి నీ సీటులో కూరచో.
मतलब, जब तुमने मुझे टेरी का नाम बताया था?	చూడు, అంటే, నువవు టెరీ పేరు చెపపావు కదా?
वे हमसे पूछेंगे हमने इतनी देर कयों लगाई.	మనం ఎందుకు కాలయాపన చేశామని ఆరా తీసతారు.
हाँ, लेकिन वे यह बात नहीं जानते, है ना?	అవును, కానీ ఆ విషయం వాళలకి తెలియదు, కదా?
- दस. . . - लिजी, तुम कहाँ हो? लिजी!	- పది. . . - లిజీ, ఎకకడ ఉననావు? లిజీ!
कया इस विमान में कोई डॉकटर है, पलीज?	విమానంలో ఎవరెనా డాకటర ఉననారా, పలీజ?
अगर तुम अपना फैसला बदलोगे ही नहीं,	మీరు మీ నిరణయానని మారచుకోని పకషంలో,
मैं आपसे जलदी मिलूँगा, माँ. ठीक है?	నినను తవరలో కలుసతాను, అమమా. సరేనా?
देखो, मैं यहाँ चुपचाप बैठकर तुमहें मरते हुए नहीं देख सकता, ठीक है?	చూడు, రకతం కారుతూ నువవు చనిపోతుంటే నేను ఇకకడ చూసతూ కూరచోలేను, సరేనా?
संपरककरता पर हमला किया जा रहा है.	ఆ మహిళ మీద ఎవరో దాడి చేసతుననారు.
हाँ, उसे गुससा आ आया. और सच कहूँ तो, उसकी बात बेबुनियाद नहीं है.	అవును, ఆమె కోపగించుకుంది. ఆమె అనన దాంటలో కూడా అరథం ఉంది, నిజానికి.
तुमहारा सारा खून बह जाएगा. देखो.	నీకు రకతం బాగా కారుతోంది. చూడు.
और अगर वह ऐसी हालत में होता, तो मैं चाहता कि कोई उसकी मदद करे.	ఇదే వాడికి జరిగితే, వాడికి కూడా ఎవరెనా సాయం చేయాలని కోరుకుంటాను.
- एलेन? - यह उनका नाम है. एलेन.	- ఎలెన? - అది మా అమమ పేరు. ఎలెన.
यह साबित कर सकता है कि यह हमारी समसया है, रोमानिया की नहीं.	ఇది మన సమసయ అని, రొమేనియాది కాదు అని ఈ మెసేజ రుజువు చేసతుంది.
- केट, बैठ जाओ! -. . . छह. . .	- కేట, కూరచో! -. . . ఆరు. . .
हमारे सामने एक गंभीर समसया है.	మాకు ఒక తీవరమెన సమసయ వచచింది.
तुम मेरी मदद नहीं कर रहे हो.	నువవు నాకు సాయం చేయడం లేదు.
आप एक कप कॉफी खरीद रहे हैं और एक वयकति का फोन आता है	ఒక కపపు కాఫీ కొనడానికి వెళదామంటే ఎవరో ఒకరు ఫోన చేసతారు
