जून लेंकर	జూన లెంకర
जेसन.	జేసన.
उस बचचे को गलती से गोली लग गई.	ఆ పిలలాడికి పొరపాటున తగిలింది.
तो, तुमहारा एक विरोधी गिरोह से झगडा था?	అయితే, శతరు మూకతో నీకు విబేధాలు ఉననాయా?
तो, तुम आइजैक विटलो को गोली मारने की बात सवीकार कर रहे हो?	అయితే, ఐసాక విటలో నీ కారణంగానే చనిపోయాడని అంగీకరిసతుననావా?
जून.	జూన.
- उसने आना बंद कर दिया. - हाँ.	- తను రావడం ఆపేసింది. - అవును.
कारलिता? कारला? कारला.	కారలిటా? కారలా? కారలా.
- जेड. - सर?	- జెడ. - సర?
टरकिश?	టరకిష?
- शांत हो जाइए. दूर हटिए. - ए!	- శాంతించి, వెళలిపోండి. - హేయ!
अब, उसने 17 साल नौकरी की.	అతనికి 17 ఏళల సరవీస ఉంది.
इससे फरक नहीं पडता है.	ఇపపుడు అదంతా ఎందుకులే.
मैं एरॉल को छोड नहीं सकती थी. . .	ఎరరొల ని నేను వదిలేయలేను కదా. . .
मुसतफा डेमिर	ముసతఫా డెమీర
पैटरिक.	పాటరిక.
धनयवाद.	థయాంకస.
धनयवाद.	థయాంకస.
मुसतफा डेमिर	మొసతఫా డెమీర
नहीं.	లేదు.
मुझे तुमहें. . . तुमहें यह सब जानने की जरूरत नहीं है.	అంటే. . . వీటననింటి గురించి నీకు తెలియాలసిన పని లేదు.
वे जो मरजी कह सकते हैं, पर मैं वहाँ मौजूद था.	వాళలు ఏమెనా చెపతారు, కానీ నేను అకకడ ఉననా కదా.
वह बेवकूफी थी.	వెరరి పని అది.
हाँ.	సరే.
नहीं, दरअसल यह बेतुका है. बस पैसों की बरबादी है.	లేదు, ఏడచినటటు ఉంది. డబబులు వృథా తపప ఇంకేం లేదు.
कुछ ऑनलाइन गतिविधियाँ हुई हैं.	ఆన లెన లో ఏవేవో కనిపిసతుననాయి.
भाड में गए फेडस. भाड में गए फेडस.	తొకకలో పోలీసులు. తొకకలో పోలీసులు.
- सर? - जून.	- సర? - జూన.
जून.	జూన.
"उसने" मतलब?	"అతను" అంటే?
जून.	జూన.
जून.	జూన.
पैटरिक.	పాటరిక.
- सच में, भाड में जाओ. - मेरा मतलब, यह सच है. मुझे कभी यह मौका नहीं मिलता.	- ఏం మాటలాడుతుననావు నువవు! - నేను కూడా బాగానే చేసతుననా, కానీ నాకు దకకలేదే.
नैशनल डेटाबेस - मारसिया जोंस	నేషనల డేటాబేస - మారసియా జోనస
मारसिया.	మారసియా.
लटीशा?	లటీషా?
लटीशा अलिमायु	లటీషా అలిమాయూ
मैंने उसे सकूल के दौरों और विकलांगता परोटोकॉल पर लगवाकर रखा है.	బడి పిలలల పనులని, వెకలయ పదధతుల పనులని అతనికి అపపగించేలా చేశాను.
यह ऐसा है मानो कोई मायने नहीं रखता है.	ఎవరూ ముఖయం కాదు అననటటు మాటలాడుతుననాడు.
हाँ.	సరే.
माफ करना, तुम कौन हो?	మననించాలి, ఎవరు మీరు?
कारला?	కారలా?
कैसे? कौन उसकी रकषा कर रहा है?	ఎలా? అతడిని ఎవరు రకషిసతుననారు?
सुनो, एरॉल की अनयतर उपसथिति का गवाह, नाई की दुकान में काम करने वाला वह आदमी. . .	చూడు, హతయ జరిగిన సమయంలో ఎరరొల, బారబర షాపు దగగరికి వెళలి ఒకడిని కలిశాడు కదా. . .
उसने तुमहें दुकान में चोरी के आरोप में गिरफतार किया और फिर आरोप हटा दिए.	దుకాణంలో దొంగతనం చేశావని అతను నినను అరెసట చేశాడు, ఆ తరవాత కేసు కొటటేశాడు.
चलो भी. अगर खबर फैली कि हम अब भी गोली चलाने वाले को ढूँढ रहे हैं,	కానివవయయా. కాలచిన వాడి కోసం మేము చూసతుననామనే విషయం వాళలకి తెలిసతే,
देखो, किम, यह पूरी तरह से अपरासंगिक है. मुझे और भी काम करने हैं.	చూడు, కిమ, అది పూరతిగా అసంబదధమెన విషయం. నాకు వేరే పనులు ఉననాయి.
कयोंकि चाहे वह जैसा भी दिखे, डैन अचछे पुलिसवालों में से एक है.	ఎందుకంటే, పెకి ఎలా కనిపించినా కానీ, డాన పోలీసుగా చాలా గొపపవాడు.
हमारे पास सीसीटीवी फुटेज है जिसमें तुम वह हथियार फेंक रहे थे.	ఆ ఆయుధానని నువవు పారేసతుననటటు చూపే సీసీటీవీ ఫుటేజ కూడా ఉంది.
जूरी इस पर विचार भी नहीं करेगी. उस लडके को सजा जरूर होगी.	జయూరీ వాళలు ఇంకేమీ ఆలోచించరు. ఆ కురరాడికి శికష పడిపోతుంది.
पर वे उसे लीक करने के लिए मेरे पीछे पड गए थे और मैं. . .	దానని లీక చేశామని వాళలందరూ నా మీద పడిపోయారు, ఇక నేను. . .
हमने उसका पता लगाया. उससे बात की. और उसने मना कर दिया.	అతని ఆచూకీ కనిపెటటి, అతనితో మాటలాడాం. అతను లేదు అననాడు.
भूल जाओ कि मैं कौन हूँ. कयोंकि तुम मुझे मरवा डालोगी.	నేనెవరో మరచిపోండి. మీ వలల నా పరాణాలు పోయేలా ఉననాయి.
कि उसे नहीं लगता है कि एरॉल उस समय उस फलैट में था.	హతయ జరిగినపపుడు, ఎరరొల తన ఇంటలో లేడని చెపపాడు కద.
और वैसे भी तुम लोग यहाँ अपना समय बरबाद कर रहे हो.	అయినా, ఈ విషయంలో మీ సమయానని వృథా చేసుకుంటుననారు.
लोग कई बार टरकिश नाम लिखने में गडबडी कर देते हैं.	టరకిష పేరలు జనాలను బాగా అయోమయానికి గురి చేసతాయి.
पर सुनो, अगर रॉय भावुक और विवेकहीन बन गया. . .	కానీ, ఒక మాట, రాయ పిచచిపిచచిగా పరవరతించి. . .
कया इसका अपील पैनल पर सच में कोई परभाव पडेगा?	అపపీళల పయానెల దానని చూసి సపందిసతుంది అంటావా?
लोग टरकिश नाम लिखने में काफी गडबडी करते हैं.	టరకిష పేరలు జనాలను అయోమయానికి గురి చేసతాయి.
यह लो. इसकी कीमत दस पाउंड है. कया कहते हो?	ఇదుగో. నీ పది పౌండలకు ఇది వసతుంది. బాగుందా?
एरॉल. . . उसने एरॉल को कभी नहीं देखा था.	ఎరరొల. . . అతను ఎరరొల ని అసలు కలవనే లేదట.
पर बेशक, एरॉल ने इस सबसे इनकार किया था.	కానీ ఎరరొల, ఊహించినటటుగానే ఒపపుకోలేదు.
मुझे वे सारे चेहरे एक जैसे दिखते हैं.	నాకు వాళల ముఖాలననీ ఒకేలా కనిపిసతాయి.
महिला को ढूँढते हुए वहाँ फोन किया था.	ఒక మగ పోలీసు ఆఫీసర కాల చేసి అడిగారట.
सुनो, वे एक अपील की योजना बना रहे थे.	చూడు, వాళలు అపపీల చేయాలనుకుంటుననారు.
उसने यह सुनिशचित करने की पूरी कोशिश की कि मैं एक माँ बनना जारी रख सकूँ.	ఒక తలలిగా నేను అనని బాధయతలూ నిరవరతించగలగడానికి కావలసినవననీ తనే చూసుకుంది.
- हैलो. हाँ, कया आप. . . - कया हुआ?	- హాయ. మీరేమెనా. . . - ఏంటి సంగతి?
पारक में घटी घटना के बारे में है.	ఆ సంఘటన గురించి దరయాపతు చేసతుననాం.
जून. हमें पता है तुम कहाँ रहती हो	జూన. నువవు ఎకకడ ఉంటావో మాకు తెలుసు
- मुझे लगा था आपको पुलिस से नफरत थी. - मुझे मेरी बेटी से पयार है.	- నీకు పోలీసులంటే ఇషటం లేదు కదా. - కానీ నా కూతురంటే నాకు ఇషటమే కదా.
मैंने कभी कोई बुरी बात नहीं बताई.	నేను చెడుగా ఎపపుడూ ఏమీ చెపపలేదు.
तुमहें अब इतना अचछा करते देखकर,	నువవు ఇంత పరయోజకుడివి అయినందుకు,
हाँ, मुझे इस बारे में पता है. यह बेकार है. उनहें गलतफहमी हुई है.	హా, అది నాకూ తెలుసులే. అకకడ ఏమీ లేదులే. వాళలు పొరబడుతుననారంతే.
वह मुझ पर काफी दयालु रही है. उसने मुझे मेरे बचचे वापस दिलवाए.	తను ననను సొంత అకకలా చూసుకుంది. నా పిలలల విషయంలో బాగా సాయపడింది.
मेरा मतलब, वह गिरफतारी से बचने के लिए कैनन रोड पर भाग रहा था.	అతను పోలీసులకి చికకకూడదని కయానన రోడడులో వేగంగా నడుసతుననాడు.
मैं समझ गया तुम कया कह रही हो.	నువవేం అంటుననావో అరథమవుతోంది.
इससे मुझे इतनी चिढ होती थी.	దాని వలల నాకు చాలా మండేది.
तुम लोग हमेशा यहाँ आते हो.	మీరు వసతూనే ఉంటారు ఇకకడికి.
नहीं? 28-वरषीय, टरकिश आदमी.	తెలీదా? 28 ఏళల టరకీ వయకతి.
- सुनो. . . - यह लजानया है.	- చూడు. . . - లసానయా చేశా.
कया वह पागल है या बस सचचाई सवीकार नहीं करना चाहती है?	ఆమెకి మతి పోయిందా లేదా ఆ దురవారతను భరించలేకపోతోందా?
यह रहा. मैं लंदन में हूँ.	ఇంతే. నేను లండన లో ఉననాను.
अगर मुझे कहीं तुमसे किसी जानकारी की जरूरत पडे तो.	నాకు ఇకకడి విషయాలు ఏమెనా తెలియాలంటే నీకు కాల చేసతా.
- आज नहीं. - अरे, चलो भी.	- ఇపపుడు వదదులే. - అబబా.
ठीक है, सभी इकटठा हो जाओ.	సరే మరి, అందరూ ఇలా రండి.
हम सीपीएस को सूचित करेंगे, संदिगध पर आरोप लगाएँगे.	పరాసికయూషన వాళలని సంపరదించి, అతనిపె కేసు వేదదాం.
सहयोग करने के लिए धनयवाद.	మీ సహకారానికి ధనయవాదాలు.
