पलीज. पलीज.	పలీజ. పలీజ.
मुझे माफ कर दो.	ననను కషమించండి.
मुझे माफ कर दो.	ననను కషమించండి.
मैं जॉनसन परिवार के खिलाफ दायर की मुआवजे की माँग वापस ले लूँगी,	నేను జానసనస వారి పిలలల మీద చేసిన ఫిరయాదులను వెనకకి తీసుకుంటాను,
पलीज मुझे एक और मौका दो. मैं बदल सकती हूँ!	నాకు ఇంకొక అవకాశం ఇవవండి. నేను మారిపోతాను!
जाहिर है वह बदल गई है.	తపపకుండా మారి ఉంటుంది.
कया हम वह जाकर देख सकते हैं?	మేము కూడా వెళలి అది చూడొచచా?
हाँ!	సరే!
बधाई हो, शरीमती बलानसकी.	అభినందనలు, మిస బలాంకసకి.
मैंने कर दिखाया? आपका मतलब यह वाकई. . .	నేను సాధించానా? మీరు నిజంగానే నేను. . .
लेकिन यह पराकृतिक नशा है	ఇది సహజంగా వచచే కులాసాయే
एमिली समिथ	ఎమిలీ సమిత
हाँ, सर. मैं समझती हूँ.	సరే, సర. నాకు అరథమెంది.
मैंने आगे और पीछे, दोनों तरफ अशिषट टैटू बनवा रखे हैं.	నేను ముందు అలాగే వెనుక కూడా టరాంప సటాంప వేయించుకుననా.
करिसमस पुडिंग.	ఫిగగి పుడడింగ.
लेकिन बाहर एक बडी पारटी चल रही है, तो. . .	కానీ, ఇకకడ ఒక పారటీ జరుగుతోంది కాబటటి. . .
बुरा मत मानना, मारटी, हम यहाँ भारी मुसीबत में हैं.	ఏమీ అనుకోకు, మారటి, కానీ మన పరిసథితి అససలు బాలేదు.
या सैंटा कलॉज के लिए आवाज उठा सकते हो	లేదా మీ విలువల కోసం ధెరయంగా నిలబడవచచు
लोग खुशी से तुमहें मुँह माँगे पैसे देंगे इन करिसमस के हतयारों को गलत साबित करने के लिए	జనం సంతోషంగా మీరు అడిగే రేటు ఇచచి కొనుకకుంటారు కరిసమస ని పాడు చేసే వారిని అణగదొకకేయండి
गजब!	వావ!
जेकब, उस आदमी का काम ही मतभेद पैदा करना है.	జేకబ, వాడి పనే పరజల మధయ విభేదాలు సృషటించడం.
यह सथापित परोटोकॉल का खुला उललंघन है.	అది మన నిబంధనలకు అననివిధాలా వయతిరేకం.
असल में, ऐसा लगता है. हाँ.	అవును, నిజం. అలాగే ఉననావు.
सही कहा. धरती.	సరే. భూమిపెకి.
ना सुधरने वाले को सुधारना लगभग नामुमकिन है.	విమోచింపశకయం కానీ వారిని విమోచించడం అసాధయం.
कलिंट बरिगस - जनवरी	కలింట బరిగస - జనవరి
मई	మే
कि एक वयकति की दया की लहरें बहुत दूर तक जा सकती हैं.	అనేకులపె పరభావం చూపగలదు అనన విషయం అందరికీ తెలిసిందే.
पता है, जैसे. . .	అంటే, ఇపపుడు. . .
नवंबर	నవంబర
. . . जरा सोचो इसकी लहरें कितनी दूर तक जाएँगी.	. . . ఆ పరభావం ఎంతమందిపె పడుతుందో ఊహించుకోండి.
बरिगस	బరిగస
जाएँगी	చూడండి
परबंधन की अनुमति मिल गई है.	మేనేజమెంట వారు ఒపపుకుననారు.
हैलो, माँ.	హేయ, అమమా.
ओह, जॉश. तुमने कया पोसट कर दिया?	ఓహ, జాష. నువవు ఏం పోసట చేసావురా?
. . . कुछ मिल गया जिससे काम बन जाना चाहिए.	. . . మనకు పనికొచచేది ఒకటి నాకు దొరికింది.
थोडा जयादा मुशकिल है	అనుకుననదానికననా కషటం
हाँ.	సరే.
यह सपषट हो गया है. मैं एक बहुत बुरी इंसान हूँ.	నేను అధికారికంగా చాలా దారుణమెన మనిషిని అయయాను.
अरे!	హేయ!
नहीं.	లేదు.
कलिंट?	కలింట?
किमबरली मोबाइल	కిమబెరలి మొబెల
गजब, बेथ.	వావ, బెత.
बेथ?	బెత?
ओह, ध. . .	ఓహ, ఛ. . .
मुझे माफ कर दो.	ననను కషమించండి.
ओह, चलो भी.	ఓహ, మళలీనా.
नहीं? कयों?	లేనా? అంటే?
-हाँ. हमें चलना चाहिए. -हाँ.	-సరే. మేము ఇక వెళళాలి. -సరే.
बूम!	బూమ!
अरे, भूतिया लडकी.	హేయ, భూతం అమమాయి.
सपारकी	సపారకి
वह किचन में सो रहा है.	వంటగదిలో పడుకుని ఉంది.
-सपारकी? -सपारकी?	-సపారకి? -సపారకి?
कलिंट, नहीं, यह झूठ बोल रही हैं.	కలింట, లేదు, అమమ అబదధం చెపతుంది.
पता है, अगर आपने उस पर एक पैसा भी खरच किया होता, तो हम पूरी रात उसे ढूँढते.	నువవు దానిమీద అరధరూపాయి ఖరచు చేసినా, రాతరి అంతా దానిని వెతికేలా చేసేదానివి.
सपारकी?	సపారకి?
नहीं.	కాదు.
साथ ही मैंने दोबारा कभी दरवाजा खुला नहीं छोडा, तो दोनों तरफ से जीत हुई.	అంతేకాక, నేను మళళీ ఎపపుడూ తలుపు తెరిచి వదలలేదు, కాబటటి అందరూ లాభపడడారు.
हो, हो, हो.	హో, హో, హో.
-अरे. -अरे, ओवेन.	-హేయ. -హేయ, ఒవెన.
पारखी नजर है. हाँ, वह तब नहीं थी.	బాగా కనిపెటటావు. అవును, అది లేదు.
मॉम ने खुद को आमंतरित कर लिया, तो. . .	అమమ పిలవకుండానే వచచేసింది, కాబటటి. . .
-यह हम. . . -हैलो, जान.	-ఇకకడ. . . -హాయ, బుజజి.
अरे.	హేయ.
अरे, अगर कोई मेरे लिए तोहफा ढूँढ रहा हो. . .	హేయ, ఎవరెనా నాకు బహుమతి కొనాలి అనుకుంటే. . .
चलो भी, कैरी. मैं तुमसे पयार करता हूँ, लेकिन तुमहें माँ बनने के बारे में कुछ नहीं मालूम है.	ఏంటిది, కయారీ? నువవు అంటే నాకు చాలా ఇషటం, కానీ ఒక తలలిగా ఎలా వయవహరించాలో నీకు అససలు తెలీదు.
तुमहारी बहन हमेशा तुमहारे साथ बहुत अचछी थी, है ना?	నీ అకక మొదటి నుండి నినను చాలా బాగా చూసుకుంది, కదా?
-तुम बचचों जैसी बातें कर रहे हो. -मुझे सुनाई नहीं दे रहा.	-నువవు చినన కురరాడిలా చేసతుననావు. -నాకేం వినిపించడం లేదు.
बढिया.	అలాగే.
-हाँ. जाहिर है. -. . . रिटायर हो गया और. . .	-సరే. అలాగే. -. . . రిటెర అయయాడు, దాంతో. . .
कलिंट, तुम मेरी जानकारी में सबसे बुदधिमान आदमी हो. तुम खुद को संभाल लोगे.	కలింట, నువవు నాకు తెలిసిన అతయంత తెలివెనవాడివి. నువవు ఎలాగెనా బరతికేసతావు.
-करिसमस का डिनर करवाता है. . . -यह दो दिन पहले की बात है.	-ఏరపాటు చేసతుంటారు. . . -ఇది, రెండు రోజుల కరితం జరిగింది.
यह सपषट हो गया है. मैं एक बहुत बुरी इंसान हूँ.	నేను అధికారికంగా చాలా దారుణమెన మనిషిని అయయాను.
एक सेकंड रुको. कया? रुको. जरा रुको.	ఒక కషణం ఆగు. ఏంటి? ఆగు. అలాగే ఉండు.
अरे, रेनी. देखो कलिंट मामा तुमहारे लिए कया लाए.	హేయ, రెననీ. నీకోసం అంకుల కలింట ఏం తెచచాడో చూడు.
वह टेडी बेयर के बगल में है, ठीक है? मारथा से मदद ले लेना.	టెడడి బేర పకకనే ఉంది, సరేనా? కావాలంటే మారతా సహాయం తీసుకో.
नहीं.	లేదు.
मिसटर बरिगस!	మిసటర బరిగస!
सर, पलीज.	సర, పలీజ.
नहीं. सर.	వదదు, సర.
सर!	సర!
-मिसटर बरिगस. -नहीं.	-మిసటర బరిగస. -వదదు.
मुझे फरेंच नहीं आती. नहीं.	నాకు ఫరెంష భాష రాదు. వదదు.
मुझे माफ कीजिए.	నేను ఇక ఉంటాను.
अगर तुमहें ना सुधर पाने वाले को सुधारना है.	విమోచించాలి అంటే ఆ మాతరం చేయాలసి ఉంటుందిలే.
तुमने पूछा था अगर मैं कभी जिंदा था.	నేను ఎపపుడెనా బరతికానా అని అడిగావు.
वह तुम हो?	అది నువవా?
मिसटर सकरूज, मैं वुडरो हूँ, सर.	మిసటర సకరూజ, నా పేరు వుడరో, సర.
गजब.	వావ.
मैडम.	మేడం.
जो भी हो.	ఏదొకటిలే.
नहीं.	లేదు.
तुमहारी इतनी हिममत!	లేదు, అససలు కుదరదు.
हैलो, दोसत.	హలో, గవరనర.
मैडम.	మేడం.
किसी के पिछवाडे पर लात मारने से	దీనితో ఎవడినెనా తిటటి పారేయొచచు
ओह, दो छोटे से शबद पूरा मिजाज बदल सकते हैं	ఓహ, రెండు చినన పదాలు పరిసథితిని మారచేయగలవు
-खैर, वैसे भी यह वासतविक नहीं है. -गजब, यह काफी चुसत है.	-పోనిలే, ఇదేం నిజం కాదు కదా. -వావ, చాలా చురుకుగా ఉననాడు.
-नहीं था. मैं बस तुमहारी नकल कर रहा था. -तुम मेरी नकल कर रहे थे?	-నాకు తెలీదు. నినను ఫాలో అవుతుననా అంతే. -నువవు ననను ఫాలో అయయావా?
-लेकिन यह बहुत भावबोधक तरीका है. -और ये सब भी जानते थे.	-కానీ భావవయకతీకరణకు భలే మారగం. -వాళలందరికీ తెలుసు కూడా.
अरे, कलिंट.	హేయ, కలింట.
यह कया बकवास है?	ఏంటి ఈ గోల అంతా?
कलिंट, पलीज.	కలింట, పలీజ.
पता है, मैं वापस अपने मेहमानों के पास जा रहा हूँ.	ఒకటి చెపపనా, ఇక నేను నా అతిథుల దగగరకు వెళతుననాను.
बॉनी.	బాని.
सुनो, मेरे पास लोगों का एक पूरा विभाग है	ఇలా చూడు, సీనలు ఇలా మారచడానికి చాలా మంది
किमबरली, अरे. हैलो.	కిమబెరలి, హెయ. హాయ.
अब तुम लोग भी मेरी चुगलियाँ कर रहे हो. चलो चलें. चलो. इसके बाद कया है?	మీరు కూడా నా గురించి చెతత వాగుడు వాగుతుననారు. పదా. వెళదాం. తరవాత ఏంటి?
हाँ.	సరే.
हाँ. पूरव गरलफरेंड, मैं समझ गया.	అవును. మాజీ గరల ఫరెండ, అరథమెంది.
मैंने उसे मुझे नहीं देखने दिया. वह बस. . .	ఆమెకు కనిపించేలా నేను ఏం చేయలేదు. ఆమె. . .
हाँ,	సరే,
तो फिर से इंसान बनना तुमहारे लिए वयकतिगत रूप से संतुषटिदायक होगा?	అంటే మళళీ మనిషివి అయితే నీ మనసుకు సంతోషంగా ఉంటుంది అననమాట, అవునా?
ठीक है, काफी जोर से पकडा है. ठीक है.	సరే, చాలా గటటిగా పటటుకుననావు. అలాగే.
-वह जॉश हाबिंस है. -यह लीजिए. मेरी करिसमस.	-వీడు జాష హబబినస. -ఇదుగోండి. మెరరీ కరిసమస.
सब ठीक है.	ఏం పరలేదు.
हैशटैग जॉशहाबिंसकोनजरअंदाज	#జాష హబబినస ని దూరంపెటటాలి
जॉश बेहद नकली है!	జాష పెదద వేషధారి!
उममीद है तुमहें खुद पर गरव होगा!	నినను చూసుకొని సంతోషిసతుననావేమో!
वह टेडी बेयर के बगल में है, ठीक है? मारथा से मदद ले लेना.	టెడడి బేర పకకనే ఉంది, సరేనా? కావాలంటే మారతా సహాయం తీసుకో.
मेरे जाने के बाद, मैं चाहती हूँ तुम रेन को पालो.	నేను చనిపోయిన తరవాత, నువవు రెన కషేమం చూసుకోవాలి.
बस करो. बहुत हो गया. तुम मेरे ऊपर एकटोपलाजम लगा दोगे.	చింతించకు. ఇక చాలు. నీ దురాతమ శకతి నాకు అంటుకుంటుంది.
ओह, खैर, फिर गुड आफटरनून.	ఓహ, సరే అయితే, ఇక ఉంటాను.
यह अभी अपना रिटायरमेंट ले ले.	ఇతను ఈ కషణమే రిటెర అయిపోవాలి.
नहीं.	లేదు.
कया हो रहा है?	ఏం జరుగుతోంది?
-ना सुधरने लायक -ना सुधरने लायक	-విమోచన లేకుండా -విమోచన లేకుండా
-तुमहारे पास. . . -नलसाजी है.	-మీ ఇంటలో. . . -నీళలు వసతాయి.
हैलो! तुम मुझे देख सकते हो!	హలో! నేను నీకు కనిపిసతుననా!
नहीं. अरे, डेव, बस करो.	లేదు. హేయ, డేవ, వదిలేయ.
-अरे, वहाँ देखो. -कया?	-హేయ, ఇది చూడు. -ఏంటి?
चलो भी!	తీసుకో!
