बैका. गारवी.	బెకా. గారవీ.
बैका.	బెకా.
हाँ, उसकी जिममेदार तुम खुद होगी.	సరే, అందుకు మీరే బాధయత వహించాలి.
मुझे. . .	నేను. . .
मुझे नहीं पता, ठीक है? वह काफी कुछ खो चुकी है.	నాకు తెలియదు, సరేనా? తను చాలా డబబు నషటపోయింది.
हाँ, तुमहारे आस-पास, डरावनी कमीनी.	అవును, నీ దగగరే అది, భయంకర రాకషసి.
-नहीं. -नहीं?	-లేదు. -లేదా?
-तुमने बैका से कया कहा? -कुछ नहीं.	-బెకాకి ఏం చెపపావు? -ఏమీ చెపపలేదు.
येय!	యాయ!
तुम इतनी पयारे हो.	ఎంత ముదదుగా ఉననావ.
अलविदा.	ఉంటాను.
ठीक है, तो. . .	సరే, అయితే. . .
मैं रॉजर हूँ.	నేను రోజర ని.
धत तेरी की.	ఓరి దేవుడా.
रॉजर	రోజర
अरस?	ఉరస?
ठीक है? और सटूडियो के लिए.	మంచిది? సటూడియో కోసం కూడా.
-और तुमहारे लिए. -वयवसाय और बैका के नाम.	-ఇంకా నీ కోసం. -బిజినెస కోసం, బెకా కోసం.
-वयवसाय और बैका के नाम. चियरस. -चियरस.	-బిజినెస కోసం, బెకా కోసం. చీరస. -చీరస.
और पीने के लिए. मैं पीने के लिए तैयार हूँ.	ఇంకా మదయానికి. నేను మదయం తాగడానికీ సిదధమే.
तुम मुझे अपने साथ शामिल नहीं करती हो, मैं तुमहारी शैमपेन ले जाती हूँ.	మీరు అనని విషయాలలో పకకన పెటటేసతుననారు. నేను నీ షాంపెన తీసుకెళతుననాను.
बैका.	బెకా.
जॉरज.	జారజ.
और उसकी बिलली, मीसो.	ఇంకా తన పిలలి, మీసో.
लॉरा कभी वापस नहीं लौटेगी.	లోరా తిరిగి రాదు అనుకుంటా.
जेपी.	జెపి.
अलविदा, मिन!	ఉంటాను, మిన!
धत तेरी की.	ఓరి దేవుడా.
द मेगा बुक ऑफ कविज फन	ద మెగా బుక ఆఫ కవిజ ఫన
-कयों नहीं? -मैंने कभी नहीं कहा कि मैं दूँगा.	-ఎందుకు? -అంటే, నేను ఇసతానని ఎపపుడూ చెపపలేదు.
मुझे मसाज देने में उसकी मदद नहीं चाहिए. मुझे पैसे चाहिए.	తను వచచి నా కలయింటలకి మసాజ చేయనకకరలేదు. నాకు డబబు అవసరం.
अगर मुझसे बात करनी है, तो मेरे ऑफिस में फोन करना, ठीक है?	నాతో మాటలాడాలి అనుకుంటే, నా కారయాలయానికి ఫోన చేయి, సరేనా?
मैंने रिसेपशनिसट से एक भददा झूठ बोला,	మీతో ఇకకడ మాటలాడటానికి ఇకకడకు వచచాను,
नहीं.	లేదు.
खतरा गॉलफ गेंदों से सावधान	పరమాదం గోలఫ బాలస తో జాగరతత
टॉम.	టామ.
बैका	బెకా
नसलवादी, सतरी दवेषपूरण बकवास सुन सकता हूँ या नहीं.	నా సెలవు రోజులలో ఎలా వింటుననానో నాకే తెలియడం లేదు.
माफ करना, मैं बस बडबडा गया. वह तुमहारा परिवार है.	కషమించు, యథాలాపంగా అనేశాను. తను మీ కుటుంబ సభయుడు.
"परवेश मत करो. "	"పరవేశించరాదు. "
माफ करना, जान.	కషమించు, బేబీ.
मैं बाथरूम का फरश साफ कर रही हूँ, बलानड. किसी को तो करना होगा.	నేను బాతరూమ నేల శుభరం చేసతుననాను, బలానడ. ఎవరో ఒకరు చేయాలి కదా.
जॉन पॉल.	జాన పాల.
