16 अपरैल, 2018	ఏపరిల 16, 2018
डॉ. डेमोन बी. जोनस, सीनियर पादरी, बाइबलवे बैपटिसट चरच	డా. డామోన బి. జోనస, సీనియర పాసటర, బెబిలవే బాపటిసట చరచ
आमीन!	ఆమెన!
फरी मीक	ఫరీ మీక
हाँ! एक बार और.	అవును! మరోసారి.
और 60 दिन बाद की तारीख दी है. सतयानाश.	విచారణ తేదీ ఇంకో 60 రోజులకు ఇచచారు. ఛ.
यह बात मेरी समझ में नहीं आ रही.	అది నాకు అరథంకాని విషయంగా ఉంది.
इसमें कुछ सही नहीं हो रहा.	ఖచచితంగా దీనికి హకకు లేదు.
सुपरीम कोरट के हाथ में है.	సుపరీమ కోరటు చేతులలో ఉంది.
24 अपरैल, 2018	ఏపరిల 24, 2018
हम इसी समय जेल के अंदर जा रहे हैं. सच कहूँ तो, सभी पागल हो रहे हैं.	మేము ఇపపుడు జెలు లోపలకు వెళుతుననాము. నిజంగా, అందరూ వెరరెతతి ఉననారు.
और फिर लाखों लोगों की भीड दवारा सवागत होना, बहुत ही भावुक पल था.	ఆ తరువాత కొనని వేల మంది జనం ముందుకు రావటం చాలా అమితానందంగా ఉంది.
वह सब मेरे लिए सपने जैसा था.	అదంతా నాకు కలలా అనిపించింది.
कह सकते हैं कि यह बहुत बडा बदलाव है, एक छोटी सी कोठरी से निकलकर	నిజానికిది సాంసకృతిక ఘాతంలా అనిపించింది, ఒక చినన జెలు గది నుంచి
उननीस साल की उमर से, जब इस मामले में फँसा था,	నేను ఈ కేసులో 19 ఏళళపపుడు ఇరుకకునన దగగర నుంచి
मतलब, मेरे सोचने का तरीका अलग था,	అంటే, నా ఆలోచనా విధానం భిననమెనది,
मेरा दिमाग हमेशा इधर-उधर भटक जाता,	నా ఆలోచనలు ఎపపుడూ అసథిరంగా ఉంటాయి,
उस बूढी औरत ने यही कहा जब वह चिललाई	ఆ ముసలావిడ అరిచినపపుడు చెపపింది అదే
18 जून, 2018	జూన 18, 2018
मीक का गिरफतारी अफसर आंतरिक जाँच का निशाना	మీక అరెసట చేసిన అధికారి సమగర పరిశోధన లకషయం
जिनहें इसी तरह के भरषट पुलिस वालों ने गिरफतार किया था,	మాజీ ముదదాయిలు ఎవరినెతే అవినీతి పోలీసులు అరెసట చేశారో,
मैं उसके सामने सूट पहनकर नहीं जाऊँगा.	నేను ఆమె ముందుకు సూట వేసుకొని వెళళను.
हम उसकी इजजत नहीं करते.	మాకు ఆమె పె గౌరవం లేదు.
