जेपी!	జెపి!
टरू गरेस	టరూ గరేస
मैं आरट कलास में जा रही हूँ.	నేను ఆరట కలాస కి వెళతుననాను.
एक सेकंड.	ఒకక కషణం.
अगर हमें दोबारा कोशिश करनी है,	మనం గనుక ఈసారి మళలీ పరయతనిసతే,
मुझे नहीं. . .	ఏమీ అనుకో. . .
मिन?	మిన?
मिन? मिन! सच में?	మిన? మిన? నిజంగా?
बाल अचछी तरह निखरे हैं.	తన జుటటుని బాగా గీశారు.
यह बढिया है.	ఇది బాగుంది.
सुना तुमने?	వింటుననావా?
मैं यह कैसे पूछूँ?	దీనిని ఎలా అడగాలి?
जेपी.	జెపి.
उसका नाम है रॉजर मलडन.	అతని పేరు రోజర ములడూన.
हाँ, मलडन. सही कहा. हाँ.	రెండు 'ఓ'లు. అదే. అవును.
किताब. कहानी की, जिसमें कई पनने एक साथ चिपके होते हैं.	పుసతకం. ఆబజెకట ఆఫ ఫికషన, చాలా పేజీలు అతికించి ఉంటుంది.
तुमने कया पहन रखा है?	నువవు ఏం వేసుకుననావు?
इवा कया बिबी ने संपरक किया?	ఈవా బీబీ నీతో మాటలాడుతోందా?
गरेसी.	గరేసీ.
कयोंकि मेरी बात मानो. . .	ఎందుకంటే నా మాట నమము. . .
ध. . .	ఛ. . .
तो कृपया, मैट, मेरे. . . गैसटरिक एसिड की खातिर ही सही,	కాబటటి దయచేసి, మయాట, నా చెతత గయాస సమసయ కోసం అయినా సరే,
कया हो रहा है?	ఏం జరుగుతోంది?
बिबी.	బీబీ.
-उसे बाथटब के बारे में बताओ. -तुम मुझे बाथटब के बारे में बता चुकी हो.	-ఆమెకు నీటి తొటటె గురించి చెపపు. -నువవు ఇపపటికే దాని గురించి చెపపావు.
कया हो रहा है?	ఏం జరుగుతోంది?
कया तुम अब भी मुझसे पयार करती हो?	నువవు ఇపపటికీ ననను పరేమిసతుననావా?
फोन आ रहा है बेन	ఇన కమింగ కాల బెన
गरेसी.	గరేసీ.
शायद ऐसा नहीं होता अगर तुमने वह बनने के लिए थोडी मेहनत की होती	రాతరి వేళ మంచం మీద నేను కోరుకుననటలు తయారవవడానికి నువవు కొదదిగా
उसने मुझे देखा तो नहीं?	అతను ననను చూడలేదు, కదా?
कौन बेवकूफ दवाई वाले दराज में अपनी दवाइयाँ नहीं रखता है?	వాడి మందులని మందుల డరాలో పెటటుకోనంత చెతత వెధవ ఏంటి వీడు?
नहीं!	వదదు!
नहीं!	వదదు!
बैका?	బెకా?
कया तुमने पाद मारी?	అపానవాయువు వదిలావా?
वह रुक गया.	వాడు ఆగాడు.
अगर हमने काम पूरा नहीं किया, तो कया उसकी आँख के लिए नयाय मिलेगा?	సరే, మనం గనుక ఈ పనిని ముగించకపోతే, అపపుడు అతని కనను పోయి ఏం లాభం?
-मैंने सोचा नहीं था कि तुम नाच सकते हो, रॉजर. -हे भगवान. हाँ.	-నువవు డానస చేయడం నేనెపపుడూ చూడలేదు, రోజర. -ఓహ, దేవుడా. అవును.
मुझे पता है तुम मुझसे नाराज हो, और हमने काफी बातें करनी है.	నా మీద కోపంగా ఉననావని తెలుసు, కానీ మనం చాలా మాటలాడుకోవాలి.
मेरा मतलब, वह आपको वृदधाशरम में नहीं रख सकता. है न?	నా ఉదదేశం, తను నినను శరణాలయంలో ఉంచలేడు. అలా చేయగలడా?
मैं सालों पहले उनके घर की अतिरिकत चाबी खो चुकी हूँ.	వాళల ఇంటి అదనపు తాళానని చాలా ఏళల కిందటే పోగొటటాను.
कया वह तनाव में था? कया उसका कोई चककर चल रहा था?	అతను నిరాశలో ఉననాడా? అతనికి వేరే సంబంధాలు ఉననాయా?
और मेरी पतनी और मैं माता-पिता बनने वाले हैं.	నేను నా భారయ తవరలో ఒక బిడడకు జనమనివవబోతుననాం.
-उसने अभी-अभी अलमारी में पेशाब किया. -चलो!	-వాడు ఇపపుడే అలమారాలో మూతరం పోశాడు. -పదండి!
-इसे घर ले जाओ. -जैसे मिले ले लो, बहना.	-ఇంటికి తీసుకువెళలు. -బాగా వాడుకో, అకకా.
-कया हो रहा है? -वह गाडी चलाने वाला है.	-ఏం జరుగుతోంది? -కారు డరెవ చేయబోతుననాడు.
-हमने इसे रिलीज नहीं किया. -अचछा किया.	-ఈ పాటని మనం విడుదల చేయలేదు. -మంచిది.
चलो उसकी अंतेषटि में सफेद कपडे पहनें.	అతని అంతయకరియలకి తెలల దుసతులు ధరిదదాం.
मैंने भारी मातरा में डरगस मिलाया था.	నేను వాడికి చాలా తీవరమెన డోసు ఇచచాను.
