गरेस	గరేస
इवा	ఈవా
बिबी	బీబీ
-माइकल, नहीं. -नहीं.	-మెఖేల, వదదు. -లేదు.
बैका	బెకా
जॉन पॉल विलियमस 1974 - 2022	జాన పాల విలియమస 1974 - 2022
शायद हीटर थोडा कम कर देना चाहिए. एहतियात के लिए.	గదిలో వేడిని కొదదిగా తగగించాలి. ఎందుకెనా మంచిది.
टरू गरेस	టరూ గరేస
कया? अरे, नहीं.	ఏంటి? ఓహ, లేదు.
खासकर गरेस विलियमस के माता-पिता, बिल और कैथलीन गारवी को.	ముఖయంగా గరేస విలియమస తలలిదండరులెన బిల ఇంకా కాథలీన గారవీ.
जॉन पॉल विलियमस	జాన పాల విలియమస
और चिंता मत करो.	కానీ కంగారుపడకు.
कलाफिन एंड संस	కలాఫిన అండ సనస
और आइए हम उन खुशियों के लिए धनयवाद दें जो उसने अपने पूरे जीवन में बाँटीं.	తన జీవితమంతా అందరికీ సంతోషానని పంచినందుకు మనం అతనికి ధనయవాదాలు తెలుపుదాం.
तुमहारे पास इतना बडा घर है, और फिर भी हमें तंग जगहों में बिठाती हो.	మనకి పెదద ఇలలు ఉంది, అయినా కూడా మాకు ఇరుకుగా ఉనన భావనని కలిగిసతావు.
-यह बेहद अजीब नाम है. . . -युवा लोगों के लिए.	-అది చాలా విచితరమెన పేరు. . . -ఈ తరం కురరాడు.
-और फिर सुखदायी महसूस होता है. -तुम इसके आदी हो जाते हो.	-ఆ తరువాత అది, మెతతగా జారుతుంటుంది. -నీకు అలవాటెపోతుంది.
यहाँ!	ఇకకడ!
-वाह. -वाह.	-వావ. -వావ.
यह लो.	ఇదుగో.
मुझे देखने दो.	ననను చూడనివవు.
कृपया, अपने बचचे को नियंतरण में रखोगे?	మీ పిలలవాడిని దయచేసి అదుపులో పెటటగలవా?
मैमी, शायद हमें जाना चाहिए. हम घर जा रहे हैं.	మామీ. ఇంక సమయం అయింది. మనం ఇంటికి బయలుదేరాలి.
वह मजाक था.	అది ఒక జోక.
देखो, मुझे पता है कि उसे सहना आसान नहीं है और. . .	చూడండి, అతను. . . అతను మొండివాడని నాకు తెలుసు. . .
सटारटर के लिए ऑइसटर का बकसा.	సటారటర కోసం గులల చేపల పెటటె.
हाँ.	సరే.
हम फोरटी फुट जा रहे हैं. जितनी जलदी हो सके, लौट आएँगे.	మేము ఫారటీ ఫుట కి వెళుతుననాం. వీలెనంత తవరగా వచచేసతాము.
बैका!	బెకా!
बिबी!	బీబీ!
नहीं.	వదదు.
यह सच नहीं है, बैका.	అది నిజం కాదు, బెకా.
उसे शारकों को खिला देती.	షారక లకి ఆహారంగా వేయాలి.
आमीन.	ఏమెన.
वैसे मुझे अचछी जैकेट कयों पहननी है?	నేను ఎందుకు మంచి జాకెట తొడుకకోవాలి?
पर हम इस बारे में कया करेंगे?	కానీ ఆ విషయంలో మనం ఏం చేయగలం?
आज उसका परिवार सावधान नहीं होगा.	ఆ కుటుంబం ఈ రోజు జాగరతతగా ఉండదు.
मुझे. . .	నేను. . .
खैर. . .	సరే. . .
एक सेकंड रुको. यह उनका घर है.	ఒకక కషణం ఉండు. ఇది వాళల ఇలలు.
अलविदा, गरेस.	ఉంటాను, గరేస.
उममीद है कि तुम यहाँ काम की बात करने नहीं आए हो. वह काफी बुरे दौर से गुजरी है.	మీరు వయాపారం గురించి మాటలాడటానికి రాలేదని ఆశిసతుననాను. ఆమె చాలా విషాదంలో ఉంది.
तुमहारा मृतक से कोई संबंध है?	మీరు మరణించిన వయకతి బంధువులా?
तो तुम सुबह एक आदमी को लगभग मार डालती हो, पर दोपहर तक उसे भूल भी जाती हो?	అయితే నువవు ఉదయాననే ఒక మనిషిని దాదాపు చంపేసి, మధయాహనానికి అలా మరచిపోతావా?
हे भगवान. मुझे माफ कर दो.	ఓహ, దేవుడా. ననను కషమించు.
यह मेरे भाई की है. यह. . .	ఇది నా సోదరుడిది. ఇది. . .
तुमहें धोना नहीं पडेगा.	నువవు గలాస కడగనకకరలేదు.
बैका.	బెకా.
-माफ करना, कया कोई समसया है? -नहीं.	-కషమించాలి, ఏమెనా సమసయ ఉందా? -లేదు.
नैपकिन.	నాపకిన.
एगजाइल इन बेबीलॉन.	ఎగజయిల ఇన బాబిలోన.
एगजाइल इन बेबीलॉन.	ఎగజయిల ఇన బాబిలోన.
तो, तुमहारे बैंड के लोग अलग कयों हुए?	సరే, మరి మీ బయాండ ఎందుకు విడిపోయింది?
पर मेरी बदकिसमती में भी खुशकिसमती होती है.	కానీ దురదృషటంలో కూడా నేను అదృషటవంతురాలినే.
नहीं.	లేదు.
बिलकुल नहीं.	నిజంగా కాదు.
-तुमहारे पास परयापत जगह नहीं है, जॉन पॉल? -पता नहीं तुम यह कैसे करती हो.	-నీకు చోటు సరిపోవడం లేదా, జాన పాల? -నువవు ఇదంతా ఎలా చేసతావో నాకు తెలియదు.
-तुमहें अंदाजा नहीं है कि हालात कितने बुरे हैं. -तो फिर, बताओ मुझे!	-పరిసథితులు ఎంత ఘోరంగా ఉననాయో నీకు తెలియటలేదు. -అయితే, నాకు చెపపు!
-कया तुम नाव ले जा रहे हो. . . -मैं नाव नहीं ले जा रहा हूँ. नहीं.	-ఈ పడవని బయటకు తీసతుననారా. . . -నేను పడవని బయటకు తీయడం లేదు. లేదు.
हाँ. तुम मुझे आदेश देती रहना बंद करोगी? मैं तुमहारी बीवी नहीं हूँ.	అలాగే. నాకు ఆదేశాలు జారీ చేయకుండా ఉండగలవా? నేను నీ పెళలానని కాదు.
तुमहें यह घर बेचकर अपनी बहनों को उनके हक का हिससा दे देना चाहिए.	నువవు ఈ ఇంటిని అమమేసి, నీ చెలలెళలకి హకకు పరకారం సొమముని పంచాలి.
वह इनसुलेशन और कालीन की दो मंजिलों के बीच से नहीं सुन सकती है.	రెండు అంతసతుల ఇనసులేషన ఇంకా తివాచీలు ఉననందువలల తను ఏమీ వినలేదు.
मेरा मतलब था कि किसी के घर में घुसना सही नहीं लगता है, बेवकूफ.	నా ఉదదేశం వేరొకరి ఇంటిలోకి వెళలడం సబబు కాదు అంటుననాను, మూరఖుడా.
पर वह एक अचछा पति है, अचछा पिता है और वह मुझे खुश रखता है.	కానీ అతను మంచి భరత, మంచి తండరి ఇంకా ననను సంతోషంగా ఉంచుతాడు.
-बस बोलने का तरीका गलत था. . . -तुमहारी आँखें कब खुलेंगी?	-అది ఏదో పొరపాటు జరిగింది. . . -నువవు ఎపపటికి మేలుకొంటావు?
. . . आपने मेरे शतरुओं के समकष मेरी खाने की मेज सजाई है.	. . . నా శతరువుల సమకషములో నా కోసం ఒక బలలను సిదధము చేశావు.
-तुमहारी समसया कया है? अरे, चलो भी. -वह अपमानजनक था.	-నీ సమసయ ఏంటి? ఎదుగు. -ఇంతకుముందు జరిగినది సిగగుచేటు.
इतनी जगह है और हम मरदों को सिकुडकर बैठना पड रहा है.	విశాలమెన గదిలో మన మగవాళలం టిన లో చేపలలా పడి ఉననాం.
हाँ, उसने बस हमारी हरकतों पर धयान आकरषित कर लिया.	అవును, మనం చేసిన పనులనీ తను వెలుగులోకి తెచచేసింది.
पकका काफी झटका लगा होगा, जॉन पॉल की दुरघटना से.	జాన పాల పరమాదం మీకు అనూహయమెన దెబబ అయి ఉంటుంది.
हम बस शांत रहेंगे, और एक-दूसरे की रकषा करेंगे.	మనం మౌనంగా ఉందాం, ఒకరికి ఒకరం సహకరించుకుందాం.
पता नहीं कोई गडबडी है भी या नहीं, पर अगर है,	ఈ కేసులో ఏదెనా కుటర జరిగి ఉంటే, జరిగి ఉంటే,
-पर वह ऐसा कभी नहीं करते. -तुमहें कैसे पता?	-ఆయన ఇలాంటి పని చేయడు. -అది నీకు ఎలా తెలుసు?
-बताना कठिन है. -हमें यहाँ नहीं होना चाहिए.	-చెపపడం కషటంగా ఉంది. -మనం ఇకకడికి రాకూడదు.
मैं मृतयु की अंधेरी घाटी से गुजरते हुए भी	నేను మృతయువు నీడలునన లోయలలో నడసతుననా కూడా,
नहीं. नहीं. मेरे साथ यह अकसर हुआ करता था.	లేదు. నేను కూడా ఎపపుడూ అలాగే చేసతుంటాను.
और हमें सुनिशचित करना है उनहें यह न मिले.	అవును, కానీ అది జరగకుండా మనం చూసుకోవాలి.
घर पहुँचने तक वह पूरी तरह से पक जाएगी.	మనం ఇంటికి వచచేసరికి అది చకకగా ఉంటుంది.
वह ऐसा नहीं सोचती. . . उसे पता है. . .	తను అలా ఆలోచించదు. . . తనకు తెలుసు. . .
मुझे नहीं लगता कुछ घंटों से फरक पडेगा.	ఇంకొదది గంటలు ఉండటం పెదద ఇబబంది కాదు.
आपने मेरे शीश पर तेल उँडेला है. . . "	నా తల మీద నూనెతో అభిషేకం చేశావు. . . "
उस कमीने के रहते वह आगे नहीं बढ सकती.	ఆ చెతత వెధవ నీడలో తను ఎదగలేకపోతోంది.
सीगलों को उसकी आँखें चुगकर खाने देती.	వాడి కళలని సీగల పకషులు పీకకు తినాలి.
और फिर तुम वापस जाकर गिटार बजा सकते हो या उँगलियों के नाखून रंग सकते हो	ఆ తరువాత నువవు తిరిగి వెళలి నీ పాటలు పాడుకో లేదా బొటనవేళలకి రంగులు వేసుకో
है न? कयोंकि हम ऐसा नहीं होने देंगे.	సరేనా? ఎందుకంటే మనం అలా జరగనివవదదు.
माफ करना, शायद वह मेरी ही गलती थी.	కషమించండి, అది నా పొరపాటే అనుకుంటా.
जो भी बुरा हो सकता था, हो चुका है.	ఎంత చెడు జరగాలో అది జరిగిపోయింది.
लंदन में मेरा एक बैंड था, इसलिए मैं वहाँ रहता था. पर हम अलग हो गए.	నాకు లండన లో బయాండ ఉంది, అందుకే అకకడికి వెళలాను. కానీ మేం విడిపోయాం.
वह हमेशा से ऐसी नहीं थी. वह कमीना उसकी जिंदगी नीरस बना रहा है.	తను ఎపపుడూ అలా ఉండేది కాదు. వాడు ఆమె జీవితానని నాశనం చేసతుననాడు.
मुझे वह सकारफ वापस चाहिए, बैका.	నా సకారఫ నాకు మళలీ కావాలి, బెకా.
अगर तुम मुझ पर मुकदमे करने की तैयारी कर रहे हो, तो शुभकामनाएँ.	సరే, నా మీద కోరటులో కేసు వేయడానికి ఏరపాటలు చేసుకుంటుంటే, గుడ లక.
-मैं कहूँगा "असहाय पोलिश बिलडर? " -चलो भी, यह फादर करिसमस है!	-"చికకుబడిన పోలాండ కారమికుడు" అననా? -ఇలా చూడు, ఇది ఫాదర కరిసమస!
-माफ करना. -तुम मजाक कर रही हो?	-కషమించండి. -నీకు ఆటలుగా ఉందా?
-हाँ. -हाँ. यह शानदार विचार है.	-అవును. -సరే. అది చకకని ఆలోచన.
हाँ, पर वह यहाँ कया कर रहा है?	అవును, కానీ వాడికి ఇకకడ ఏం పని?
किसी भी चीज के बारे में, समझी?	ఇది దేని గురించీ కాదు, సరేనా?
"माफ करना. हम नहीं आ पाएँगे. मेरी गलती है. मैंने जयादा पी ली. मजे करो. चुममी, चुममी. "	"కషమించాలి. మేము రాలేకపోతుననాము. నా తపపే. చాలా తాగాలి. సరదాగా గడపండి. ముదదులు, ముదదులు. "
मैं बस अपने मूलयवान गराहक से दुःख की घडी में मिलने आया हूँ,	ఒక కషటకాలంలో విలువెన కలయింట ని మరయాదపూరవకంగా కలుసతుననాను,
गरेस! वे बीमा कंपनी से हैं जो भुगतान नहीं करना चाहते हैं.	గరేస! వాళలు బీమా మనుషులు, వాళలకి డబబు చెలలించడం ఇషటం ఉండదు.
आज हम ईसा मसीह में हमारे भाइयों और बहनों को याद करते हैं	మనతో ఈ రోజున లేని, దేవునిలో లీనమెన మన సోదరులు, సోదరీమణులను
मुझे माफ कर दो. मुझे माफ. . .	ననను కషమించు. నేను చాలా. . .
हम बस यह कह रहे थे कि इवा को इतने बडे घर की कया जरूरत है.	ఈవాకి ఇంత పెదద ఇలలు ఎందుకు అవసరమో మనం మాటలాడుకుంటుననాం.
मैंने शहर में अभी-अभी एक सटूडियो के लिए परसताव दिया है,	నేను ఈ మధయనే మన ఊరిలో ఒక సటూడియో పరదేశం కోసం పరయతనించాను,
उसने मुझसे पूछा कि जिस रात जॉन पॉल मरा था, मैं कहाँ थी.	అతను జాన పాల మరణించిన రాతరి నేను ఎకకడ ఉననాను అని అడిగాడు.
वह मर चुका है. वह दफन हो गया है. अब वह शैतान की समसया है.	అతను చనిపోయాడు. మటటిలో ఉననాడు. వాడు ఇపపుడు సాతాను సమసయ.
मजा आया? तुम इतनी बदमाश हो.	అంటే? నువవు చాలా చెడిపోయావు.
उसने कहा कि वह हमारे साथ थी?	తను మనతో ఉంది అని చెపపిందా?
और मुझे पता है कि तुमहें लगता है वह अचछा इंसान नहीं है,	ఇంకా అతను మంచి వాడు కాదని మీరు అనుకుంటుననారని తెలుసు,
बकवास चीजें कयों कह रहे हो?	ఇంత చెతతగా మాటలాడుతుననావా?
और मैं यहोवा के मंदिर में हमेशा के लिए वास करूँगा. "	మరియు నేను ఆ పరభువు ఇంటిలో ఎలలపపుడూ నివసించెదను గాక. "
वह कम खाओ. वरना तुम भी अपनी कजिन जितनी मोटी हो जाओगी.	ఇవి ఎకకువ వదదు. నువవు కూడా నీ కజిన అంత లావెకకుతావు.
तुम सीधे मेरे सामने आ गई.	నా ఎదురుగా నడిచి వచచేశావు.
वह ऐलसेशियन नहीं है, टॉम.	తను ఆలసేషన కుకక కాదు, టామ.
फरैंक, यह मेरा परिवार है.	ఫరాంక, వీళలంతా మా కుటుంబం.
तुम बेहद सुंदर दिख रही हो.	నువవు చాలా అందంగా ఉననావు.
वह डिटेकटिव नहीं है, गरेस.	అతను డిటెకటివ కాదు, గరేస.
-कमीना कहीं का. -हाँ. बिलकुल नहीं. यह नहीं हो सकता.	-ఆ చెతత వెధవ. -అవును. అవకాశమే లేదు. ఇలా జరగకూడదు.
पर मेरी बस किसमत बुरी थी.	కానీ అది కేవలం దురదృషటం.
खैर, हमें तब तक इंतजार करना होगा जब तक वह कैंसर वगैरह से मर नहीं जाता.	అవును, కయానసర తో కానీ మరేదయినా రోగంతో కానీ వాడు చచచేవరకూ మనం ఎదురుచూడాలి.
यह केवल आतमहतया होने पर अमानय होगा या कया कहते हो? बुरे इरादे होने पर.	ఏదో ఆతమహతయ జరిగితేనో లేదా దానినేమంటారు? కుటర జరిగితే తపప ఆ కలెయిమ చెలలదు.
कलाफिन एंड संस इनशयोरेंस	కలాఫిన అండ సనస ఇనసూరెనస
अब हम संपरक कर सकते हैं.	ఇపపుడు మనం కనెకట అయయాం.
हम तुमहारा समरथन करेंगे.	మేము నీకు అండగా ఉంటాము.
गरेस फोन जा रहा है. . .	గరేస కాలింగ మొబెల. . .
जैसा कि शुरुआत में था,	పరారంభంలో ఉనన మాదిరిగా,
-हम अपने माता-पिता का घर बेचना नहीं चाहते हैं. -हाँ, इवा ने इसी घर में हमारी परवरिश की.	-మా తలలిదండరుల ఇంటిని అమమడం మాకు ఇషటం లేదు. -అవును, ఈవా మమమలని ఈ ఇంటిలో పెంచి పెదద చేసింది.
तुमने शैमपेन पी थी. तुम गाडी नहीं चला सकती.	నువవు గలాసు షాంపెన తాగి ఉననావు. డరెవ చేయలేవు.
हम जॉन पॉल की जीवन बीमा पॉलिसी संभाल रहे हैं.	మేము జాన పాల జీవిత బీమా పాలసీని చూసతుననాము.
और तुम सब कब बस करोगी?	నువవు ఎపపుడు ఆపుతావు?
उसे पता है हम इसलिए उसे नहीं. . . वह बस उसे नियंतरित कर रहा है.	మనం అందుకోసం అనము అని తనకి తెలుసు. . . అతను ఆమెని కబళించేసతుననాడు.
-घूँसा मारने की सोचती हूँ -हे भगवान, बिबी.	-అపపుడపపుడు నాకు అనిపిసతుంది. -దేవుడా, బీబీ.
कोई अंतयेषटि में आने की पुषटि नहीं देता है.	అంతయకరియలకు వసతామని ఎవవరూ సపందించడం లేదు.
उसे तुमहारी जरूरत है.	తనకి నీ సహాయం అవసరం.
हम जॉन पॉल की जीवन बीमा पॉलिसी के धारक हैं	జాన పాల జీవిత బీమా పాలసీ మా సంసథలో ఉంది.
वह बीमा कंपनी से है. वह बस एक कमीना है.	వాడు బీమా పిలలగాడు. వటటి పనికిమాలిన వాడు.
-मैं तुमहें कुछ करने को नहीं कह रही हूँ, गरेस. -कह रही हो.	-నువవు ఏం చేయాలో నేను చెపపను, గరేస. -కానీ, నువవు చెబుతుననావు.
मेरा मतलब, वे टूटी हुई विंडसकरीन के लिए दावा नहीं कर रहे हैं.	నా ఉదదేశం, వాళలు కారు అదదాలు బదదలయయాయని కలెయిమ చేయడం లేదు.
अरसला, तुम अंदर हो?	ఉరసులా, లోపల ఉననావా?
यह बेहद सुंदर है न?	ఇది అందంగా ఉంది కదా?
-कया कर रहे हो? -मैं फोलडर ले रहा हूँ.	-ఏం చేసతుననావు? -ఆ ఫోలడర అందుకుంటుననాను.
जॉन पॉल के शराब से परहेज के सममान में.	జాన పాల హుందాతనానికి గౌరవంగా జరుగుతోంది.
-बेस गिटार. -भगवान.	-బాస గిటార. -దేవుడా.
