साला!	అబబా!
तो फिर, तुम कहाँ थे?	నువవెకకడ ఉండిపోయావు?
इसने मैडलिन सटिलवेल को उडा डाला!	అతను మాడలిన సటిలవెలను పేలచేశాడు!
हाँ.	సరే.
नहीं.	లేదు.
और एक आजाद पंछी की तरह घूम रहा है,	సజీవంగా, చకకగా, చుటటూ తిరుగుతుంది,
सब कुछ ठीक तो है?	అంతా బాగానే ఉందా?
अरे, आप कहाँ जा रही हैं?	ఓయ, ఎకకడికి వెళుతుననావు?
पर मैं इसका जवाब पता कर सकता हूँ.	కానీ అది ఎలా పొందాలో నాకు తెలుసు.
ठीक है, भाड में जाए. गरेस! रुकिए!	సరే, అది వదిలేయ. గరేస! గరేస! ఆగు!
बस मेरी बात सुनिए.	నేను చెపపేది విను.
-नहीं. तुमहें हमारी ओर देखना होगा.	-లేదు. నువవు మమమలని చూడాలి. -లేదు.
मुझे तो लगा कि सडी हुई मछली की वजह से	అది చెడడ మంచినీటి మలుగు చేప అనుకుంటా.
मैं सोचती रही कि तुम फोन करोगी.	నువవు ఫోన చేసతావనుకుంటూ ఉననాను.
बिलकुल अकेली हूँ.	ఖచచితంగా ఒంటరిని.
वॉट मुझे इसमें जेब नहीं रखने देगा.	వాట ఇందులో జేబులు పెటటుకోనివవలేదు.
जब मेरी आँख खुली, तो मुझे लगा,	నాకు మెలుకువ వచచాక అనుకుననాను,
तुम उनसे मिले?	ఆమెను కలిశావా?
मेरे साथ खेल मत खेलो.	ననను గందరగోళ పరచొదదు.
-मैं ही इतना भददा हूँ.	-నేను కురూపిని. -కాదు.
नहीं!	కాదు!
शायद इतनी जलदी, अपने दोसतों के साथ,	బహుశా నువవు ఇంత తవరగా నీ సనేహితులతో
मुझे लगता है यह हम दोनों को पता है	అది సాధయం కాదని మన ఇదదరికీ తెలుసు.
मैं इसे रख सकती हूँ?	నేను ఇది ఉంచుకోవచచా?
हाँ.	సరే.
और धड दूसरे कमरे में मिला.	మొండెం మరో గదిలో దొరికాయి.
