-रायन!	-రాయన!
एल. ए. डबलयू.	ఎల. ఏ. డబలయూ.
आरम	ఆరమ
और हीरो का इंतजार करो.	హీరో కోసం వేచి చూడండి.
अचछा, सेडोना में सीधे जेनज तक जाना है.	సరే, నేరుగా సెడోనాలో జెన దగగరకు వెళతా.
और वाइल ई. कायोटी.	ఇంకా వెల ఈ కొయోటీ.
बिलकुल. हम रोड रनर को	అవును. మనం రోడ రననరను
मुझे बेहद. . . हैलो. हयूई.	నేను చాలా. . . హాయ. హయూయీ.
मैं थक चुकी हूँ.	నేను అలసిపోయాను.
हम सब थक चुके हैं.	మనందరం అలసిపోయాము.
देखो. . .	చూడు. . .
और मैं थक चुकी हूँ.	ఇక నేను అలసిపోయాను.
उसे ए-टरेन से कया परेशानी है?	ఏ టరెయినతో ఆమెకునన సమసయ ఏంటి?
डीप फिर भी चुना गया.	డీప అయినా పరయోజకరమే.
विलियम बुचर.	విలియం బుచర.
हम लोगों को बहुत मजा आ रहा था.	మేము ఇకకడ చాలా సరదాగా గడిపాము.
यह अकेला नहीं था. मैं यहीं थी.	తను ఒంటరిగా లేడు. నేను ఉననాను.
एक कमरे में बंद रहूँ,	ఈ వెసట ఎలమ డెత సటారలో
-होमलैंडर?	-హోంలాండర?
-होमलैंडर!	-హోంలాండర!
नया गहना है?	కొతత చెయినా?
बाप रे. माँएँ भी ना.	దేవుడా ఈ అమమలుననారే.
-तुमने हमें कैसे ढूँढा?	-మమమలని ఎలా కనుగొననావు?
आप रोते भी हैं?	నువవు ఏడుసతావా?
बेटा. . .	బాబు. . .
तुम बहुत अचछी हो.	నువవు మంచిదానివి.
बिलकुल तैयार हैं.	అవును మేమూ వసతాం.
सटॉरमफरंट. . .	సటారమఫరంట. . .
देखो. . .	చూడు. . .
अचछा. तो, फिर से कोशिश करते हैं.	సరే. అయితే మనం మళళీ పరయతనిదదాము.
पर नाजी बुरे लोग हैं.	కానీ నాజీలు చెడడవారు.
उसके ऊपर से गाडी चढा दो. . .	ఆమెను కారుతో తొకకించండి. . .
कया हो रहा है?	ఏం జరుగుతోంది?
तुम ठीक हो. हमें जाना होगा, ठीक है? चलो.	బానే ఉననావు. మనం వెళుతుననాము, సరేనా? రా.
-तुम अचछे से इसकी परवरिश करना.	-నువవు వాడిని సరిగా పెంచుతావు.
और वे तुम तक कभी नहीं पहुँच पाएँगे.	వాళళని నినను ఎపపటికీ కనిపెటటనివవను.
बेकका!	బెకకా!
लोगों को मेरी बातें बहुत पसंद आती हैं.	నేను చెపపాలనుకుననది జనానికి నచచుతుంది.
और सच का कया?	నిజం మాటేంటి?
एनी!	ఆనీ!
लडकियाँ वाकई में काम पूरा करती हैं.	మళళీ ఇది అమమాయిలు పూరతి చేసతుననారు.
नहीं.	వదదు.
रायन.	రాయన.
यह तुमने किया है?	నువవు ఇది చేశావా?
मेरा वह इरादा नहीं था.	ఇలా చేయాలని అనుకోలేదు.
रायन.	రాయన.
नहीं.	రాడు.
-पलीज.	-పలీజ.
इनहें जाने दो.	వాళళను వదిలేయ.
होमलैंडर?	హోంలాండర?
सटैन.	సటాన.
और उसे सजा दी जाएगी.	ఆమె శికషించబడుతుంది.
"पीडीआर"?	"పీడీఆర"?
रुकिए.	ఆగండి.
-हाँ!	-అదీ!
नहीं.	లేదు.
तो, अगर तुम मेरी बात नहीं कर रहे थे,	అయితే, నా గురించి కాదా మాటలాడుతుంది,
यह सेंट करिसटोफर है.	ఇది సెయింట కరిసటొఫర.
वॉट को मैं संभाल लूँगी.	నేను వాటను చూసుకుంటాను.
मुझे मेरी ताकत का इसतेमाल करने के लिए	నా శకతులు ఉపయోగించమని పరేరేపిసతుననారు.
मुझसे वादा करो कि उसे हिफाजत से रखोगे.	వాడిని సురకషితంగా ఉంచుతానని మాట ఇవవు.
अब, मैंने तुमसे जो कहा, उसे याद रखना.	ఇపపుడు, నేను నీకు చెపపింది గురతుంచుకో.
देखो, मैं समझती हूँ कि इसमें खतरा है.	చూడు, నాకు అది పరమాదకరమెనదని తెలుసు.
इन तसवीरों के आधार पर, अब यह माना जा	ఫోటోల ఆధారంగా, ఇపపుడు ఆహె ఫరెడరిక వాట
माफ करना जो तुमहें अकेला छोडना पडा.	కషమించు నినను ఒంటరిగా వదిలి వెళళాము.
तुमने उसे खुद हासिल किया है, ठीक है?	నువవిది సవంతంగా సంపాదించావా, అవునా?
और तुम मुझे निषठुर कमीना बता रहे हो.	నువవు ననను కనికరం లేని వెధవ అంటావు.
अफसोस, पुरालेख में एक हादसा हो गया.	పరాచీన గరంథాలయంలో ఒక సంఘటన జరిగింది.
उनहोंने डवेन रीड से ही लिया होगा.	ఖచచితంగా డున రీడ దగగర ఇచచుంటారు.
अब और उदघाटन समारोह नहीं होंगे.	పరీమియరలు ఉండవు. లేదా పాపరాజీలు.
ये लोग वापस यहाँ कया कर रहे हैं?	వాళళు తిరిగి ఇకకడేం చేసతుననారు?
वी को जनता में नहीं बाँट सकते.	సమాజంలోకి వీని విడుదల చేయకూడదు.
वह मेरा बेटा है और मैं चलूँगी.	వాడు నా కొడుకు, నేను వసతుననాను,
सटैन एडगर को जबरदसत झटका लगेगा.	సటాన ఎడగరను చావు దెబబ కొటటచచు.
पर यह एक बिलकुल नई दुनिया है.	కానీ ఇది మొతతం సరికొతత పరపంచం.
मैं राजयों के नाम लिख रहा था.	నేను నా రాషటరాలను వరాసతుననాను.
बेकका, हमारे पास वकत नहीं है.	బెకకా, మనకు సమయం మించిపోతుంది.
मैं दुआ करती हूँ कि वह सही हो.	ఆమె నిజం కావాలని కోరుకుంటాను.
अगर मुझे किसी बात का पता है,	నాకు తెలిసిన విషయం అంటూ ఉంటే,
पैटरोल लेने पर नकद देना है,	ఇంధనం కోసం డబబు, హోటలస వదదు.
यह तो बडी अचछी बात है, रायन,	సరే, అది చాలా మంచిది, రాయన,
पेंटगन को बडा आरडर मिला है,	పెంటగాన పెదద ఆరడర ఇచచింది,
हर कोई तुमहें ढूँढ रहा है.	అందరూ నీకోసం వెతుకుతుననారు.
धत तेरी. अभी-अभी खबर आई है.	అయయో, అది బహిరగతం అయయింది.
तो जरूर कोई बडी ताकत होगी.	అయితే ఏదో అధిక శకతి ఉండాలి.
इनहोंने मुझे उडाकर दिखाया.	పెకి తీసుకెళళి చూపించారు.
हाँ, कुरबानियाँ देनी पडीं,	అవును, బలిదానాలు జరిగాయి,
और तुम किस लिए हँस रही हो?	నువవు దేనికి నవవుతుననావు?
पलीज. माँ, मुझे माफ कर दो.	వదదు. అమమా, ననను కషమించు.
और तुम यहाँ कया कर रही हो?	నువవు ఇకకడ ఏం చేసతుననావు?
वरना मैं इसे निकाल दूँगी.	లేదంటే ఇది విడుదల చేసతాను.
तुम फिर से शामिल हो गए हो.	నువవు తిరిగి చేరుతుననావు.
कयोंकि आपने कहा था कि मुझे	ఎందుకంటే మీరు ననను తిరిగి
हाँ, कोई बात नहीं. तो. . .	అవును, ఫరవాలేదు. మనం. . .
दिन-ब-दिन बढती जा रही है.	రోజురోజుకూ పెరిగిపోవచచు.
हैलोवीन पर, बहुत ही अचछी	ఆమె హాలోవీన కోసం అదభుతమెన
मुझे नहीं पता. यहीं रहो.	నాకు తెలియదు. ఇకకడే ఉండు.
मुझे तुमसे कुछ पूछना है.	నేను నినను ఒకటి అడగాలి.
