नवंबर.	నవంబర.
आखिर वहाँ चल कया रहा है?	అసలు అకకడ ఏం జరుగుతుంది?
एपरियस	ఎపరిఎస
एपरियस लंदन में सथित एक निजी सैनय कंपनी है.	ఎపరిఎస అనేది లండనలోని ఒక పరెవేట సెనిక సంసథ.
मुझे लंदन जाना होगा.	నేను లండనకు వెళళాలి.
आखिर वह जा कहाँ रहा है?	తను ఎకకడికి వెళతుననాడు?
जरूर. मैं कया मदद कर सकता हूँ?	ఫరలేదు. నీకు ఏం సహాయం చేయగలను?
शायद मुझे उनसे बात करनी चाहिए.	బహుశా నేను అతనితో మాటలాడాలేమో.
मुझे भूख नहीं है.	నాకు ఆకలిగా లేదు.
कुछ नहीं.	ఏమీ లేదు.
रॉडरिगो.	రోడరిగో.
बिना बताए आने के लिए माफी चाहूँगा.	చెపపకుండా వచచినందుకు ననను కషమించు.
गुड ईवनिंग.	శుభసాయంతరం.
गुड ईवनिंग, जनरल.	శుభసాయంతరం, జనరల.
आपका घर बहुत सुंदर है.	మీ ఇలలు అదభుతంగా ఉంది.
अगला कारयकाल मेरे लिए आखिरी होगा.	వచచేసారి, నాకు ఆఖరు టరమ అవుతుంది.
नहीं.	లేదు.
सथानीय लोगों को जबरन उनकी जमीन से बेदखल करना.	సథానికులను తమ పరాంతం నుండి బలవంతంగా పంపించడం.
उनहें लापता हुए एक साल से जयादा हो गया है.	ఆయన కనిపించకుండా పోయి ఏడాది పెనే అవుతుంది.
सरजियो बेहद ईमानदार इंसान थे.	సేరిగో గొపప నిజాయితీగల వయకతి.
जानती हूँ कि यह बेवकूफी है.	అది పిచచితనమే, నాకు తెలుసు.
तो मैकस को तुमने किससे मिलवाया था?	అయితే, మీరు మాకసను ఎవరితో కలిపారు?
अपने और तुम जो भी करना चाहते हो	మనకి, మనం చేయాలనుకునన పనికి మధయ
तुमने आखिरी बार मैकस को कब देखा था?	మీరు మాకసని ఆఖరిసారి ఎపపుడు చూసారు?
पॉल	పాల
कया बात है, जान? तुम ठीक तो हो न?	ఏమెంది తలలీ? నువవు బాగానే ఉననావా?
तुम कहाँ हो?	ఎకకడ ఉననావు?
यह लो.	ఇదిగో.
हेकटर!	హెకటర!
सटेक एंड कंपनी	సటీక &amp; కం.
फलैश लाइडार	ఫలాష లెడార.
पलाजा के दकषिण-पशचिमी छोर पर.	పలాజాకు నెరుతి దికకున ఉననాడు.
ठीक है, यह लो. सभी टीमें तैयार हो जाएँ.	సరే, వెళదాం. అనని జటలు, సిదధంగా ఉండండి.
गृह मंतरी सरजियो बोनालडे ने अमरीका और वेनेजुएला के तेल सौदे को मंजूरी दी	అంతరగత మంతరి సేరిగో బొండేల యుఎసతో వెనిజులా చమురు ఒపపందానని ధృవీకరించాడు
और हथियारों की तसकरी के कारण वह वितत विभाग की एसडीएन सूची में भी है.	అతను ఆయుధాల అకరమ రవాణా కేసులో, ఖజానా శాఖ వారి ఎసడిఎన జాబితాలో ఉననాడు.
वहाँ के लोग नौजवान हैं, पढे-लिखे हैं और सोशल मीडिया इसतेमाल करते हैं.	ఇకకడి జనాభా అధికులు యువత, చదువుకుననవారు, సామాజిక మాధయమాలలో నిపుణులు.
यह धयान में रखते हुए, मैं आपको एक परसताव देना चाहता हूँ.	దానని దృషటిలో ఉంచుకుని, నేను నీకొక ఆఫర ఇవవాలనుకుంటుననాను.
यह एक जरमनी में बना हुआ तीन कटरहेड वाला डरिलिंग रिग है	ఇది టరిపుల భరమణ కటటర హెడగల జరమనీలో తయారెన డరిలలింగ రిగ,
बिना अदालती आदेश के एक निजी कंपनी के बैंक खातों पर	అంటే, సరెన నయాయసథాన ఆదేశం లేకుండా ఒక పరెవేటు సంసథ
और उसके लिए तुमहें किसी और की जरूरत नहीं होती है.	అందులో ఏది చేయడానికెనా, నీకు ఇంకెవరూ అవసరం లేదు.
जब मैं अब तक इस देश की परतिनिधि बनी ही नहीं हूँ.	మీరు ననను ఎందుకు కలవాలనుకుననారో నాకు అరథం కాలేదు.
आप वेनेजुएला में कितने समय से थीं, मिस सटेबिनस?	మీరు వెనిజులాలో ఎంత కాలం ఉననారు, మిస సటెబబినస?
इसमें वे रोशनी की लाखों किरणों का इसतेमाल करके	వాళళు ఏం చేసతారంటే, లకషల కొదదీ కాంతి బిందువులను
पर मुझे लगता है इसमें हम दोनों का फायदा है.	కానీ ఇందులో మనిదదరికీ అవసరమెన అంశాలు ఉననాయి.
कोलिनास डि बेलो मोंटे जिला कराकस, वेनेजुएला	కొలినాస డె బెలలో మాంటె జిలలా కరాకస, వెనిజులా
उनहें जोडते हो और अपनी रिपोरट लिख देते हो	నువవు వాటననిటినీ కలిపి, నీ నివేదిక రాసతావు
यह साफ बता दूँ कि हम खुद ये काम नहीं करते,	మీకు సపషటంగా చెపపాలంటే, మేము ఆ పని చేయము,
- वह कहाँ है? कहाँ? - पलीज, थोडा पास जाओ.	-అతను ఎకకడ ఉననాడు? ఎకకడ? -ఇంకా జూమ చేయాలి.
अपने देश में खनन करना गैरकानूनी नहीं है.	సవంత దేశంలో గనులు తవవడం చటట విరుదధం కాదు.
पर वह काम के सिलसिले में कई जगह जाते थे.	కానీ తన పని మీద చాలా పరాంతాలకు వెళళేవాడు.
और शायद इन दोनों के पीछे रेयस का हाथ है.	ఈ రెండిటి వెనక రేయేస హసతం ఉందని నా నమమకం.
ये तसवीरें मैंने दूसरे डिबबे में ली थीं.	ఇవి నేను రెండవ కంటెయినరలో తీసిన ఫోటోలు.
रूपरट थोरन. इसमें हमारी मदद कर सकते हो?	రుపెరట తోరనే. మాకు ఆ విషయంలో సహాయపడగలవా?
मुझे लगा कि तुम टरिपोली में मारी गई थी.	నువవు టరిపోలీలో చనిపోయావని అనుకుననాను.
अभी आपके परिवार की सुरकषा सबसे अहम है.	పరసతుతం మీ కుటుంబ భదరత అతయంత ముఖయమెనది.
कयोंकि मैंने वह किया, हमें उसे विसफोट से जोडने वाले उंगलियों के निशान मिल गए.	నేను అలా చేసాను కాబటటే, ఈ పేలుడుకు సంధానించే అతని వేలిముదరలు మనకు దొరికాయి.
हाँ. वह खुलेआम रेयस का विरोध करते थे,	తెలుసు. అతను రేయేసకు బహిరంగ విమరషకుడు,
हैरी, हैरान होने के लिए माफी चाहूँगा.	హయారీ, నేను నిరఘాంతపోయినందుకు మననించు.
माफ कर दो. उसने मुझे यह करने पर मजबूर किया. मेरी बहन उसके कबजे में है.	కషమించండి. కషమించండి. అతను నాతో అలా చేయించాడు. నా చెలలెలు అతని వదద ఉంది.
आप जनरल उबारी को तो जानती ही होंगी.	నీకు జనరల ఉబరరి తెలుసు అనుకుంటాను.
आपसे मिलकर अचछा लगा, मिसटर गरीयर.	మిమమలని కలవడం బాగుంది, మిసటర గరీర.
आपका देश हमेशा से लातिन अमरीका के	మీ దేశానికి లాటిన అమెరికా ఎననికలలో
- नहीं, मैं लंदन में हूँ. - लंदन?	-లేదు, నేను లండనలో ఉననాను. -లండనా?
तो शाम तक उसके पास पहुँच जाएँगे.	సూరయాసతమయానికలలా, తనని చేరుకోగలం.
वह करीब एक साल पहले लापता हो गए.	అతను ఒక ఏడాది నుండి కనిపించటలేదు.
वे दुनियाभर की अहम और खतरनाक जगहों पर सैनय सुरकषाकरमी देते हैं.	వాళళు పరపంచంలో అనని ఉదరికత పరాంతాలకు సెనికులను సరఫరా చేసతారు.
यह एक बेहद अहम मिशन है, मटेयो.	ఇది చాలా ముఖయమెన పని, మేటియో.
किसी को पता है कि कया हुआ था?	ఏం జరిగిందో ఎవరికెనా తెలుసా?
तो हमें एमआई5 से पूछना होगा.	మనం ఎం15ను అడగాలసి వసతుంది.
पर मैं समझ नहीं पा रहा हूँ कि आप मुझसे कया चाहती हैं.	కానీ మీరు ననను ఏం చేయమని అడుగుతుననారో నాకు అరథం కాలేదు.
मुझसे बात करने का शुकरिया.	నా కాల ఎతతినందుకు కృతఙఞతలు.
राजनीति नौजवानों का खेल है.	రాజకీయాలు యువత ఆడుకునే ఆట.
अगले चुनाव में आपको मेरा पूरा समरथन मिलेगा, गलोरिया.	తరువాతి ఎననికలలో నీకు నా పూరతి మదదతు ఉంటుంది, గలోరియా.
इस चिंगारी से बचकर रहना.	ఈ మంటలేని పొగను తటటుకో.
मॉनिका हेररेरा को ढूँढो. वह कराकस की एक वकील है.	మోనికా హీరరెరని కనుగొను. ఆమె కరాకసలో నయాయవాది.
इसका नाम मैकस शैंकल है.	అతని పేరు మాకస షెంకెల.
इतने सालों बाद भी. . .	ఇననేళళ తరువాత కూడా. . .
मुझे यह फोन लेना होगा.	నేను ఈ కాల మాటలాడాలి.
ये तो बस कुछ बातें हैं. और भी बहुत कुछ है.	అవి కేవలం ముఖయమెనవి. ఇంకా చాలా విషయాలుననాయి.
- माफ करना. - शुकरिया.	-కషమించు. -ధనయవాదాలు.
कॉलेज जाने वाला होता.	కాలేజీకి వెళతుండేవాడు.
एक जरूरी काम करना है.	ఒక ముఖయమెన పని జరగాలి.
"एपरियस"? यह कया है?	"ఎపరియసా"? అంటే ఏంటి?
यह लीजिए, मिसटर रायन.	ఇదిగోండి, మిసటర రెన.
