डैनर की आग	డానర మంటలు
उसका नाम लेनरड वर है, वह सच में अजीब है.	వాడి పేరు లెనరడ వుర, చాలా పెదద తికకలోడు.
पुरानी कार डीलरशिप? वह वहाँ काम किया करता था.	ఆ వాడేసిన కార డీలరషిప? వాడు అకకడ పనిచేసేవాడు.
और रोज उसके लिए कैंडी लाने लगा था.	రోజూ ఆమెకు చాకలెటలు తీసుకెళలేవాడు.
तुमहारा चेहरा देखकर लगता है, तुमहें पसंद है.	నినను చూసతుంటే, నీకు అవి ఇషటం అననటటే ఉననావు.
जिस तरह से यह छोटे से घरषण से परजवलित होती है	అతి చినన రాపిడి కారణంగా అది రగులుకునే విధానం,
उसने कहा था कि यह कामुक भावना नहीं थी.	వాడు అది లెంగికమెన ఫీలింగ కాదు అననాడు.
हतयारे का मकसद,	హంతకుడి ఉదదేశం,
मैं उससे जयादा कुछ नहीं बता सकता. अह, डॉकटर-मरीज की गोपनीयता.	నేను అంతకంటే ఎకకువ చెపపలేను. డాకటర-పేషెంట మధయ ఉండే గోపయత అది.
सच में?	నిజంగా?
और उसे कैसे गाने पसंद हैं?	వాడికి బాగా నచచే పాట ఏంటి?
मुझे किसी और चीज का जुनून है.	నా అభిరుచి వేరే విషయంలో ఉంది.
हर तरह के सेकस का.	అనని విధాలెన సెకస.
मेरा मतलब, मुझे भी सेकस पसंद है.	అంటే, నాకు కూడా సెకస అంటే ఇషటమే.
मेरी छाती पर मारो.	నా ఛాతి మీద కొటటు.
-हे भगवान. अरे, नहीं. -ठीक है.	- ఓహ, దేవుడా. ఓహ, లేదు. - సరే.
बस मालिश कर रही थी.	బాగా పిసుకుతుననాను.
हम और सबूत के बिना उसे गिरफत में नहीं रख सकते.	మరింత ఆధారం లేకుండా మనం వాడిని మనతో ఉంచుకోలేం.
सच में?	నిజంగా?
हे भगवान. तुमने उस साइकेटरिसट के साथ सेकस किया.	ఓరి, నాయనో. నువవు నా సెకియాటరిసట తో పడుకుననావు.
बेहद कीमती है.	చాలా ఖరీదెంది.
नहीं.	వదదు.
जो तुम देख रहे हो, वह बस कलपनाएँ हैं.	నువవు చూసతుంది అంతా నీ మనసులో విషయమే.
नहीं!	వదదు!
नहीं.	అంతే.
अगर तुम मेरा मतलब समझ रहे हो तो.	నేను చెపపేది నీకు అరథమె ఉంటుంది.
अगर मैंने उनहें नहीं रोका, तो वे बस डेरी फरीज जालकर संतुषट नहीं होंगे.	నేను గనుక వాడిని ఆపకపోతే, వాళళు డెరీ ఫరీజ ని తగలబెటటినంత మాతరానా ఆగడు.
मुझे पता नहीं था कि डेरी फरीज जलाया गया था.	ఆ తగలబడిన పరదేశం డెరీ ఫరీజ అని నాకు తెలీదు.
नहीं, केवल तुमहारी गलती नहीं है, डॉक.	లేదు, ఇది నీ తపపు మాతరమే కాదు, డాకటర.
बाकी सबकी तरह पहले अपना नाम लिखवाओ.	అందరిలాగే నువవు కూడా వరుసలో ఉండాలి.
सटेज डाइव.	సటేజి డెవ.
पयोर गम सपिरिटस टरपनटाइन	పయూర గమ సపిరిటస టరపెంటెన
- सब कैसा गया? - हमने उसे पकड लिया.	- ఏమెంది? - మేము వాడిని పటటుకుననాం.
बेचारा लेनरड. मैंने उसे निराश कर दिया.	పాపం లెనరడ. నేను వాడిని సరిచేయలేకపోయా.
नहीं, तुमने अपराधी को पकड लिया. मैंने बस तुमहें सुराग दिए.	లేదు, నీకు నీ మనిషి దొరికాడు. అవసరమెన సమాచారం నేను ఇచచాను.
तुमने. . .	నువవు. . .
गलत होना.	తపపుబడడం.
कया कर रहे हो?	ఏం చేసతుననావు?
यह बस पेंट के साथ नहीं घुलता है.	ఇది పెయింట తో కలవడం మాతరమే కాదు.
यह तुमहारी गलतियाँ भी मिटाता है.	చేసిన తపపులను చెరిపేసతుంది కూడా.
वॉयस मेल छोडा.	పంపించావు కదా.
गला चूमने की भददी आवाज सुनी. सब कुछ सुना.	ఆ మెడ మీద ఛండాలంగా ముదదాడడం కూడా విననాను.
- अरे. कया लगता है मैं यहाँ कयों आया हूँ? - हाँ. ठीक है.	- నేను ఇకకడికి వచచింది ఎందుకు అనుకుంటుననావు? - సరే. సరే.
तुमने कर दिखाया, पारटनर. तुमने कर दिखाया.	నువవు సాధించావు, పారటనర. నువవు సాధించావు.
डैनर?	డానర?
बात यह है कि, चाहे जो भी अपराधी हो, हम यह केस सुलझाएँगे.	విషయం ఏంటంటే, ఫలితం ఏమెనా సరే మనం ఈ కేసును పరిషకరిసతాము.
यह लो.	ఇదుగో.
मुझे माफ कर दो. वह पागलपन था.	ననను కషమించండి. అది వెరరితనం.
ठीक है, जो भी "आधयातमिक" शबद का इसतेमाल करता है, वह अजीब सेकस कर रहा होता है.	సరే, "ఆధయాతమికమెన" అనన పదం వాడే వారు ఎవరెనా సరే, విచితరమెన సెకస చేసే మనుషులే.
और मैं हैरान था कयोंकि उसने कहा था उनहोंने उसके साथ बुरा बरताव किया था.	వాళళు వాడి మీద కసురుకుననారు అని నాకు చెపపాడు కాబటటి నాకు ఆశచరయం వేసింది.
देखो, हम पिछले हफते जलने वाली दो जगहों से तुमहारा संबंध जोड चुके हैं,	చూడు, గతవారం తగలబడిన రెండు పరదేశాలకు నీతో సంబంధం ఉందని మాకు తెలిసింది,
मेरी कषमताओं की वजह से, मैं हर सतर के गराहकों का इलाज कर सकता हूँ.	నేను అనేక విధాలెన కలెంటస కి సహాయం చేయడానికి నాకు వీలు కలపిసతుంది.
डेरी फरीज इकलौती जगह है जिससे हम लेनरड का संबंध नहीं जोड पाए थे.	మనం నేరుగా లెనరడ కి లింక చేయని ఒకే ఒకక పరదేశం డెరీ ఫరీజ మాతరమే.
कयोंकि मैं केस के जयादा ही करीब चली गई. मुददे से भटक गई थी.	ఎందుకంటే నేను కేసుకు మరీ దగగరయయాను. నిషపాకషికంగా చూడలేకపోయా.
सच में? कयोंकि तुम मुझे सच में आतमविशवास से भरी लगती हो.	నిజంగా? కానీ చూసతుంటే నువవు ఆతమవిశవాసంతో ఉననటటే ఉంటావు.
